disease_target_phase,primary_use_case,assay_aim,assay_target,target_analyte,drug_resistance_target,other_drug_resistance_target,validated_sample_types,other_validated_sample_type,submission_id,submission_title,manufacturer,country,region,stage_of_development,regulatory_status,other_regulatory_status,target_pathogen,planned_market_entry,type_of_technology,technology_principle,test_format,instrument_requirement,lab_vs_poc,readout_technology,resistance_marker,other_test_format,level_of_automation,self_testing_self_collection,time_to_results_excl_prep,test_to_be_listed_on_finds_web_page,data_to_be_published_on_finds_web_page,target_patient_group,type_data_source,study_type,performance_submission_title,sensitivity,sensitivity_ci_low,sensitivity_ci_up,specificity,specificity_ci_low,specificity_ci_up,total_number_samples,sample_type,number_positive_samples,number_negative_samples,city,permalink,country_tmp,city2,lat,lng,who_technology_class,who_pipe
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Private,Isoniazid; Pyrazinamide; Rifampicin,NA,Unknown,NA,a2r69000007lbEo,INFINITIMTB Assay,Autogenomics,United States,Region of the Americas,Research Use Only (RUO),None,NA,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Private,Cartridge-based processing,A proprietary/new instrument is required,Lab-based,Fluorescence,Private,microarray chip based,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Carlsbad,https://autogenomics.com/?q=node/42,United States,"Carlsbad, United States",33.16603851,-117.33792877,Not applicable,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Private,Amikacin; Fluoroquinolone; Isoniazid; Kanamycin; Rifampicin,NA,Sputum,NA,a2r69000007lbF6,IRON qPCR RFIA kit (preXDR-TB),Bioneer Corporation,"Korea, Republic of",Western Pacific Region,Late Stage Development (fully functional prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Molecular,Private,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Private,NA,Fully automated (including sample preparation),Intended for professional use only,60,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Daejeon,https://bioneer.com,South Korea,"Daejeon, Korea, Republic of",36.34912872,127.38493346999999,Low complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB rpoB gene,Rifampicin,NA,Bronchoalveolar lavage; Sputum; Other,Sputum Sediment,a2r69000007lb94,Xpert MTB/RIF,Cepheid,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; US FDA 510k; WHO recommended; Other,WHO recommended; Israel Ministry of Health,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,90,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,RIF detection (against AFB smear positive subjects ),99.7,98.4,99.9,98.5,91.9,99.7,417,Sputum,351,66,Sunnyvale,https://cepheid.com,United States,"Sunnyvale, United States",37.3736763,-122.03657532,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB rpoB gene,Rifampicin,NA,Bronchoalveolar lavage; Sputum; Other,Sputum Sediment,a2r69000007lb94,Xpert MTB/RIF,Cepheid,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; US FDA 510k; WHO recommended; Other,WHO recommended; Israel Ministry of Health,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,90,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,RIF detection (against AFB smear negative subjects ),76.1,67.6,82.9,98.8,97.5,99.4,679,Sputum,117,562,Sunnyvale,https://cepheid.com,United States,"Sunnyvale, United States",37.3736763,-122.03657532,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB rpoB gene,Rifampicin,NA,Bronchoalveolar lavage; Sputum; Other,Sputum Sediment,a2r69000007lb94,Xpert MTB/RIF,Cepheid,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; US FDA 510k; WHO recommended; Other,WHO recommended; Israel Ministry of Health,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,90,Yes,Yes,Active TB,Other,Independent,TB detection from sputum,85,82,88,98,97,98,37237,Sputum,NA,NA,Sunnyvale,https://cepheid.com,United States,"Sunnyvale, United States",37.3736763,-122.03657532,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB rpoB gene,Rifampicin,NA,Bronchoalveolar lavage; Sputum; Other,Sputum Sediment,a2r69000007lb94,Xpert MTB/RIF,Cepheid,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; US FDA 510k; WHO recommended; Other,WHO recommended; Israel Ministry of Health,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,90,Yes,Yes,Active TB,Other,Independent,TB detection from sputum  (smear positive),98,97,98,NA,NA,NA,18275,Sputum,NA,NA,Sunnyvale,https://cepheid.com,United States,"Sunnyvale, United States",37.3736763,-122.03657532,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB rpoB gene,Rifampicin,NA,Bronchoalveolar lavage; Sputum; Other,Sputum Sediment,a2r69000007lb94,Xpert MTB/RIF,Cepheid,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; US FDA 510k; WHO recommended; Other,WHO recommended; Israel Ministry of Health,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,90,Yes,Yes,Active TB,Other,Independent,TB detection from sputum (smear negative),67,62,72,98,98,99,18962,Sputum,NA,NA,Sunnyvale,https://cepheid.com,United States,"Sunnyvale, United States",37.3736763,-122.03657532,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB rpoB gene,Rifampicin,NA,Bronchoalveolar lavage; Sputum; Other,Sputum Sediment,a2r69000007lb94,Xpert MTB/RIF,Cepheid,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; US FDA 510k; WHO recommended; Other,WHO recommended; Israel Ministry of Health,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,90,Yes,Yes,Active TB,Other,Independent,RIF detection from sputum,96,94,97,98,98,99,8020,Sputum,NA,NA,Sunnyvale,https://cepheid.com,United States,"Sunnyvale, United States",37.3736763,-122.03657532,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB IS1081; MTB IS6110,Rifampicin,NA,Bronchoalveolar lavage; Sputum; Other,Sputum Sediment,a2r69000007lb95,Xpert MTB/RIF Ultra,Cepheid,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; WHO recommended,WHO recommended; Israel Ministry of Health,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,60,Yes,Yes,Active TB,Other,Independent,TB detection from sputum,90,84,94,96,93,97,2654,Sputum,NA,NA,Sunnyvale,https://cepheid.com,United States,"Sunnyvale, United States",37.3736763,-122.03657532,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB IS1081; MTB IS6110,Rifampicin,NA,Bronchoalveolar lavage; Sputum; Other,Sputum Sediment,a2r69000007lb95,Xpert MTB/RIF Ultra,Cepheid,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; WHO recommended,WHO recommended; Israel Ministry of Health,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,60,Yes,Yes,Active TB,Other,Independent,RIF detection from sputum,94.9,88.9,97.9,99.1,97.7,99.8,930,Sputum,NA,NA,Sunnyvale,https://cepheid.com,United States,"Sunnyvale, United States",37.3736763,-122.03657532,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Not applicable,Amikacin; Capreomycin; Ethionamide; Fluoroquinolone; Isoniazid; Kanamycin,NA,Bronchoalveolar lavage; Sputum; Other,Sputum Sediment,a2r69000007lb96,Xpert MTB/XDR,Cepheid,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; WHO recommended,WHO recommended; Israel Ministry of Health,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,eis promoter; fabG1; gyrA; gyrB; inhA promoter; katG; oxyR-ahpC intergenic region; rrs,NA,Automated (excluding sample preparation),Intended for professional use only,90,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,INH detection from sputum,95.2,92.9,96.8,95.6,90.1,98.1,596,Sputum,464,132,Sunnyvale,https://cepheid.com,United States,"Sunnyvale, United States",37.3736763,-122.03657532,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Not applicable,Amikacin; Capreomycin; Ethionamide; Fluoroquinolone; Isoniazid; Kanamycin,NA,Bronchoalveolar lavage; Sputum; Other,Sputum Sediment,a2r69000007lb96,Xpert MTB/XDR,Cepheid,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; WHO recommended,WHO recommended; Israel Ministry of Health,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,eis promoter; fabG1; gyrA; gyrB; inhA promoter; katG; oxyR-ahpC intergenic region; rrs,NA,Automated (excluding sample preparation),Intended for professional use only,90,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,FLQ detection from sputum,94.5,90.7,96.9,95.2,92.5,96.9,594,Sputum,226,368,Sunnyvale,https://cepheid.com,United States,"Sunnyvale, United States",37.3736763,-122.03657532,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Not applicable,Amikacin; Capreomycin; Ethionamide; Fluoroquinolone; Isoniazid; Kanamycin,NA,Bronchoalveolar lavage; Sputum; Other,Sputum Sediment,a2r69000007lb96,Xpert MTB/XDR,Cepheid,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; WHO recommended,WHO recommended; Israel Ministry of Health,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,eis promoter; fabG1; gyrA; gyrB; inhA promoter; katG; oxyR-ahpC intergenic region; rrs,NA,Automated (excluding sample preparation),Intended for professional use only,90,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,AMK detection from sputum,87.7,77.5,93.6,98.5,97,99.2,593,Sputum,65,528,Sunnyvale,https://cepheid.com,United States,"Sunnyvale, United States",37.3736763,-122.03657532,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Not applicable,Amikacin; Capreomycin; Ethionamide; Fluoroquinolone; Isoniazid; Kanamycin,NA,Bronchoalveolar lavage; Sputum; Other,Sputum Sediment,a2r69000007lb96,Xpert MTB/XDR,Cepheid,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; WHO recommended,WHO recommended; Israel Ministry of Health,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,eis promoter; fabG1; gyrA; gyrB; inhA promoter; katG; oxyR-ahpC intergenic region; rrs,NA,Automated (excluding sample preparation),Intended for professional use only,90,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,KAN detection from sputum,93.7,89,96.4,92.4,89.4,94.6,594,Sputum,195,399,Sunnyvale,https://cepheid.com,United States,"Sunnyvale, United States",37.3736763,-122.03657532,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Not applicable,Amikacin; Capreomycin; Ethionamide; Fluoroquinolone; Isoniazid; Kanamycin,NA,Bronchoalveolar lavage; Sputum; Other,Sputum Sediment,a2r69000007lb96,Xpert MTB/XDR,Cepheid,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; WHO recommended,WHO recommended; Israel Ministry of Health,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,eis promoter; fabG1; gyrA; gyrB; inhA promoter; katG; oxyR-ahpC intergenic region; rrs,NA,Automated (excluding sample preparation),Intended for professional use only,90,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,CAP detection from sputum,75.4,64,84,99.6,98.6,99.9,595,Sputum,54,541,Sunnyvale,https://cepheid.com,United States,"Sunnyvale, United States",37.3736763,-122.03657532,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Not applicable,Amikacin; Capreomycin; Ethionamide; Fluoroquinolone; Isoniazid; Kanamycin,NA,Bronchoalveolar lavage; Sputum; Other,Sputum Sediment,a2r69000007lb96,Xpert MTB/XDR,Cepheid,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; WHO recommended,WHO recommended; Israel Ministry of Health,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,eis promoter; fabG1; gyrA; gyrB; inhA promoter; katG; oxyR-ahpC intergenic region; rrs,NA,Automated (excluding sample preparation),Intended for professional use only,90,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,ETH detection from sputum,55,49.5,60.3,93.8,90.3,96.1,597,Sputum,194,403,Sunnyvale,https://cepheid.com,United States,"Sunnyvale, United States",37.3736763,-122.03657532,Low complexity,WHO
Latent,Triage/Screening,Tuberculosis,Antigen,MTB CFP-10; MTB ESAT-6,Not applicable,NA,Whole Blood,NA,a2r69000007lbFE,T-SPOT.TB,Oxford Immunotec Limited,United Kingdom,European Region,Regulatory Achieved,CE-IVDD; WHO recommended,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Immunoassay,ELISA/EIA; IGRA,Unspecified,A proprietary/new instrument is optional,Lab-based,Colorimetric,Not applicable,NA,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Abingdon,https://oxfordimmunotec.com,United Kingdom,"Abingdon, United Kingdom",51.66964722,-1.27949834,Not applicable,WHO
Active,Diagnostic/confirmatory test,Tuberculosis,DNA,MTB IS6110; MTB pab gene,Not applicable,NA,Bronchoalveolar lavage; Sputum; Other,NALC treated sputum and bronchialalveolar lavages,a2r69000007lbLJ,Abbott RealTime MTB,Abbott Molecular,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,qPCR,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Fluorescence,Not applicable,NA,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,Yes,Active TB,Systematic review + Meta-analysis,Independent,TB detection from sputum,96.2,90.2,98.6,97.1,93.7,98.7,4858,Sputum,NA,NA,Des Plaines,https://abbottmolecular.com/home.html,United States,"Des Plaines, United States",42.04229736,-87.88932037,Moderate complexity,WHO
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Not applicable,Isoniazid; Rifampicin,NA,Bronchoalveolar lavage; Sputum; Other,NALC treated sputum and bronchialalveolar lavages,a2r69000007lb6C,Abbott RealTime MTB RIF/INH,Abbott Molecular,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,qPCR,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Fluorescence,inhA promoter; katG; rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,RIF resistance from sputum,94.8,88.3,98.3,100,97,100,216,Sputum,91,125,Des Plaines,https://abbottmolecular.com/home.html,United States,"Des Plaines, United States",42.04229736,-87.88932037,Moderate complexity,WHO
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Not applicable,Isoniazid; Rifampicin,NA,Bronchoalveolar lavage; Sputum; Other,NALC treated sputum and bronchialalveolar lavages,a2r69000007lb6C,Abbott RealTime MTB RIF/INH,Abbott Molecular,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,qPCR,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Fluorescence,inhA promoter; katG; rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,INH resistance from sputum,88.3,80,94,94.3,88.6,97.7,217,Sputum,90,127,Des Plaines,https://abbottmolecular.com/home.html,United States,"Des Plaines, United States",42.04229736,-87.88932037,Moderate complexity,WHO
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Not applicable,Isoniazid; Rifampicin,NA,Bronchoalveolar lavage; Sputum; Other,NALC treated sputum and bronchialalveolar lavages,a2r69000007lb6C,Abbott RealTime MTB RIF/INH,Abbott Molecular,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,qPCR,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Fluorescence,inhA promoter; katG; rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,Yes,Active TB,Systematic review + Meta-analysis,Independent,RIF resistance from sputum & culture isolates,94,89,99,100,99,100,1008,Sputum; Sputum Culture,NA,NA,Des Plaines,https://abbottmolecular.com/home.html,United States,"Des Plaines, United States",42.04229736,-87.88932037,Moderate complexity,WHO
