disease_target,manufacturer,submission_id,submission_title,country,region,type_of_technology,stage_of_development,regulatory_status,target_pathogen,serovar_subtype,assay_target,target_analyte,test_format,lab_vs_poc,validated_sample_types,city,instrument_name,test_to_be_listed_on_finds_web_page,permalink,country_tmp,city2,lat,lng
Mpox,"Abiores Technology (Beijing) Co.,Ltd.",a2r69000007lbKK,Abiores monkeypox virus nucleic acid detection kit,China,Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Mpox virus,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Unknown,Beijing,NA,Yes,https://bioresource.com.cm,China,"Beijing, China",39.9078064,116.39758301
Mpox,"Abiores Technology (Beijing) Co.,Ltd.",a2r69000007lbMv,Bio-resource Monkeypox Virus Ag Test,China,Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Mpox virus,Unspecified,Antigen,MPX Antigen,Rapid diagnostic test (strip or cassette),True Point of Care,Lesion fluid; Plasma; Serum; Whole Blood,Beijing,NA,Yes,https://bioresource.com.cm,China,"Beijing, China",39.9078064,116.39758301
Mpox,"Abiores Technology (Beijing) Co.,Ltd.",a2r69000007lbUI,Bio-resource Monkeypox Virus Fluorescence PCR Kit(Direct qPCR),China,Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Mpox virus,Unspecified,DNA,MPX F3L gene,NAT reagent kit (open source),Lab-based,Lesion fluid; Plasma; Whole Blood,Beijing,NA,Yes,https://bioresource.com.cm,China,"Beijing, China",39.9078064,116.39758301
Mpox,"Abiores Technology (Beijing) Co.,Ltd.",a2r69000007lbOU,Monkeypox Virus Fluorescence PCR Kit (Direct qPCR),China,Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Mpox virus,Unspecified,DNA,MPX F3L gene,NAT reagent kit (open source),Lab-based,Plasma; Whole Blood; Other,Beijing,NA,Yes,https://bioresource.com.cm,China,"Beijing, China",39.9078064,116.39758301
Dengue,"Access Bio, Inc.",a2r69000007lbcH,careGENE DENGUE VIRUS RT-PCR KIT,United States,Region of the Americas,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,RNA,Unknown,NAT reagent kit (open source),Lab-based,Unknown,Somerset,NA,Yes,https://accessbio.net,United States,"Somerset, United States",40.49362564,-74.50476837
Enteric fever; Typhoid fever,"AccuBioTech Co., ltd.",a2r69000007lbcK,Accu-Tell Typhoid rapid test cassette (S;P),China,Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Salmonella Typhi,Not applicable,Antibody (serological),Anti-Salmonella typhi IgG; Anti-Salmonella typhi IgM,Rapid diagnostic test (strip or cassette),near Point of Care,Plasma; Serum,Beijing,NA,Yes,https://accubiotech.com,China,"Beijing, China",39.9078064,116.39758301
Dengue,"AccuBioTech Co., ltd.",a2r69000007lbcM,ACCU-TELL Dengue IgG;IgM Cassette,China,Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Beijing,NA,Yes,https://accubiotech.com,China,"Beijing, China",39.9078064,116.39758301
Enteric fever; Typhoid fever,"AccuBioTech Co., ltd.",a2r69000007lbcL,Accu-Tell Typhoid rapid test cassette (S;P;WB),China,Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Salmonella Typhi,Not applicable,Antibody (serological),Anti-Salmonella typhi IgG; Anti-Salmonella typhi IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Finger prick blood; Plasma; Serum; Whole Blood,Beijing,NA,Yes,https://accubiotech.com,China,"Beijing, China",39.9078064,116.39758301
Dengue,"AccuBioTech Co., ltd.",a2r69000007lbbw,ACCU-TELL Dengue NS1 Cassette,China,Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antigen,DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Beijing,NA,Yes,https://accubiotech.com,China,"Beijing, China",39.9078064,116.39758301
Dengue,"AccuBioTech Co., ltd.",a2r69000007lbcN,Accu-Tell Dengue IgG;IgM;NS1 Combo Rapid Test Cassette (Whole blood;Serum;Plasm,China,Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological) + Antigen,Anti-DENV IgG; Anti-DENV IgM; DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Beijing,NA,Yes,https://accubiotech.com,China,"Beijing, China",39.9078064,116.39758301
Mpox,"ACON Biotech (Hangzhou) Co., ltd.",a2r69000007lbot,Promotor Monkeypox Virus Real Time PCR Test Kit,China,Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Mpox virus,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Lesion crusts; Lesion fluid; Oropharyngeal swab; Serum,Hangzhou,NA,Yes,http://aconbio.com,China,"Hangzhou, China",30.24592018,120.21079254
Dengue,Acro Biotech Inc.,a2r69000007lbcS,Dengue IgG/IgM Rapid Test Cassette,United States,Region of the Americas,Immunoassay,Regulatory Achieved,Brazil ANVISA; CE-IVDD,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Rancho Cucamonga,NA,Yes,https://acrobiotech.com,United States,"Rancho Cucamonga, United States",34.10639954,-117.57576752
Dengue,Acro Biotech Inc.,a2r69000007lbcR,Dengue IgG/IgM Rapid Test Cassette (CE),United States,Region of the Americas,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Rancho Cucamonga,NA,Yes,https://acrobiotech.com,United States,"Rancho Cucamonga, United States",34.10639954,-117.57576752
Dengue,Acro Biotech Inc.,a2r69000007lbcU,Dengue NS1 Rapid Test Cassette (CE),United States,Region of the Americas,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antigen,DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Rancho Cucamonga,NA,Yes,https://acrobiotech.com,United States,"Rancho Cucamonga, United States",34.10639954,-117.57576752
Dengue,Acro Biotech Inc.,a2r69000007lbcT,Dengue IgG/IgM And NS1 Combo Rapid Test Cassette,United States,Region of the Americas,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological) + Antigen,Anti-DENV IgG; Anti-DENV IgM; DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Rancho Cucamonga,NA,Yes,https://acrobiotech.com,United States,"Rancho Cucamonga, United States",34.10639954,-117.57576752
Dengue,Acro Biotech Inc.,a2r69000007lbdP,Dengue NS1 Rapid Test Cassette,United States,Region of the Americas,Immunoassay,Regulatory Achieved,Brazil ANVISA; CE-IVDD,Dengue virus,Unspecified,Antigen,DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Rancho Cucamonga,NA,Yes,https://acrobiotech.com,United States,"Rancho Cucamonga, United States",34.10639954,-117.57576752
Mpox,Advanced Molecular Diagnostics Ltd,a2r69000007lbmG,AMD Monkeypox PCR Kit,United Kingdom,European Region,Molecular,Regulatory Achieved,CE-IVDD,Mpox virus,Unspecified,DNA,MPX F3L gene,NAT reagent kit (open source),Lab-based,Lesion fluid; Plasma; Serum; Whole Blood,Nottingham,NA,Yes,https://am-diagnostics.co.uk,United Kingdom,"Nottingham, United Kingdom",52.95619583,-1.15120375
Chikungunya; Dengue; Zika virus disease,AIT Biiotech,a2r69000007lbbl,abTES DEN/ CHIKU/ ZIKA 3 qPCR I Kit,Singapore,Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Chikungunya virus; Dengue virus; Zika virus,DENV-1; DENV-2; DENV-3; DENV-4,RNA,Unknown,NAT reagent kit (open source),Lab-based,Purified RNA,Singapore,NA,Yes,https://aitbiotech.com,Singapore,"Singapore, Singapore",1.28943646,103.84998322
Dengue,AIT Biiotech,a2r69000007lbbi,abTES DEN 4 qPCR I Kit,Singapore,Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,DENV-1; DENV-2; DENV-3; DENV-4,RNA,Unknown,NAT reagent kit (open source),Lab-based,Purified RNA,Singapore,NA,Yes,https://aitbiotech.com,Singapore,"Singapore, Singapore",1.28943646,103.84998322
Dengue,AIT Biiotech,a2r69000007lbbh,abTES DEN 4 PRO qPCR I Kit,Singapore,Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,DENV-1; DENV-2; DENV-3; DENV-4,RNA,Unknown,NAT reagent kit (open source),Lab-based,Purified RNA,Singapore,NA,Yes,https://aitbiotech.com,Singapore,"Singapore, Singapore",1.28943646,103.84998322
Chikungunya; Dengue,AIT Biiotech,a2r69000007lbbk,abTES DEN/ CHIKU 5 qPCR I Kit ,Singapore,Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Chikungunya virus; Dengue virus,DENV-1; DENV-2; DENV-3; DENV-4,RNA,Unknown,NAT reagent kit (open source),Lab-based,Purified RNA,Singapore,NA,Yes,https://aitbiotech.com,Singapore,"Singapore, Singapore",1.28943646,103.84998322
Dengue,AIT Biiotech,a2r69000007lbbj,abTES DEN 4 qPCR II Kit,Singapore,Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,DENV-1; DENV-2; DENV-3; DENV-4,RNA,Unknown,NAT reagent kit (open source),Lab-based,Purified RNA,Singapore,NA,Yes,https://aitbiotech.com,Singapore,"Singapore, Singapore",1.28943646,103.84998322
Lassa,altona Diagnostics GmbH,a2r69000007lbiG,RealStar Lassa Virus RT PCR Kit 2.0 ,Germany,European Region,Molecular,Regulatory Achieved,CE-IVDD,Lassa virus,LasV Lineage II; LasV Lineage III; LasV Lineage IV; LasV Lineage V,RNA,LasV GPC-gene; LasV L-Gene,NAT reagent kit (open source),Lab-based,Plasma,Hamburg,NA,Yes,https://altona-diagnostics.com,Germany,"Hamburg, Germany",53.55725479,9.99596596
Ebola virus disease,altona Diagnostics GmbH,a2r69000007lbuL,RealStar Ebolavirus RT-PCR Kit 1.0*,Germany,European Region,Molecular,Regulatory Achieved,US FDA EUA,Ebola virus,Bundibugyo ebolavirus; Reston ebolavirus; Sudan ebolavirus; Tai Forest ebolavirus; Zaire ebolavirus,RNA,EBOV L gene,NAT reagent kit (open source),Lab-based,Plasma; Serum; Urine; Whole Blood; Other,Hamburg,NA,Yes,https://altona-diagnostics.com,Germany,"Hamburg, Germany",53.55725479,9.99596596
Ebola virus disease; Marburg virus disease,altona Diagnostics GmbH,a2r69000007lbuM,RealStar Filovirus Screen RT-PCR Kit 1.0  CE,Germany,European Region,Molecular,Regulatory Achieved,CE-IVDD; WHO EUL,Ebola virus; Marburg virus,Bundibugyo ebolavirus; Reston ebolavirus; Sudan ebolavirus; Tai Forest ebolavirus; Zaire ebolavirus,RNA,EBOV L gene; MARV L gene,NAT reagent kit (open source),Lab-based,Plasma; Serum; Whole Blood,Hamburg,NA,Yes,https://altona-diagnostics.com,Germany,"Hamburg, Germany",53.55725479,9.99596596
Dengue,altona Diagnostics GmbH,a2r69000007lbZM,RealStar Dengue RT-PCR Kit 3.0,Germany,European Region,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,DENV-1; DENV-2; DENV-3; DENV-4,RNA,Unknown,NAT reagent kit (open source),Lab-based,Purified RNA,Hamburg,NA,Yes,https://altona-diagnostics.com,Germany,"Hamburg, Germany",53.55725479,9.99596596
Dengue,altona Diagnostics GmbH,a2r69000007lbZL,Real StarDENV RT-PCR Kit 2.0 Quantitative,Germany,European Region,Molecular,Regulatory Achieved,Brazil ANVISA; CE-IVDD,Dengue virus,DENV-1; DENV-2; DENV-3; DENV-4,RNA,Unknown,NAT reagent kit (open source),Lab-based,Purified RNA,Hamburg,NA,Yes,https://altona-diagnostics.com,Germany,"Hamburg, Germany",53.55725479,9.99596596
Dengue,AMEDA Labordiagnostik GmbH,a2r69000007lbZP,Dengue NS 1,Austria,European Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antigen,DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Graz,NA,Yes,https://amp-med.com,Austria,"Graz, Austria",47.06954956,15.43818283
Dengue,AMEDA Labordiagnostik GmbH,a2r69000007lbZO,Dengue IgG/IgM - NS1 Combo,Austria,European Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological) + Antigen,Anti-DENV IgG; Anti-DENV IgM; DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Graz,NA,Yes,https://amp-med.com,Austria,"Graz, Austria",47.06954956,15.43818283
Dengue,AMEDA Labordiagnostik GmbH,a2r69000007lbZN,Dengue IgG/IgM,Austria,European Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Graz,NA,Yes,https://amp-med.com,Austria,"Graz, Austria",47.06954956,15.43818283
Dengue,AMS UK ltd.,a2r69000007lbao,Dengue Dual Ag Ab Device,United Kingdom,European Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological) + Antigen,Anti-DENV IgG; Anti-DENV IgM; DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Ballymena,NA,Yes,https://amslabs.co.uk,United Kingdom,"Ballymena, United Kingdom",54.89884949,-6.27780485
Chikungunya; Dengue; Malaria; West Nile fever,Anatolia Tan ve Biyoteknoloji A.S.,a2r69000007lbpn,Bosphore Tropical Fever Panel Kit v1,Turkey,European Region,Molecular,Regulatory Achieved,CE-IVDD,Chikungunya virus; Dengue virus; Plasmodium Species; West Nile virus,Unspecified,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Serum; Urine; Whole Blood; Other,Istanbul,NA,Yes,https://anatoliageneworks.com/en/index.asp,Turkey,"Istanbul, Turkey",41.01300049,28.96380043
Dengue,Anatolia Tan ve Biyoteknoloji A.S.,a2r69000007lbpp,Bosphore dengue Virus Detection Kit v1,Turkey,European Region,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Serum,Istanbul,NA,Yes,https://anatoliageneworks.com/en/index.asp,Turkey,"Istanbul, Turkey",41.01300049,28.96380043
Chikungunya; Dengue; Malaria; West Nile fever; Zika virus disease,Anatolia Tan ve Biyoteknoloji A.S.,a2r69000007lbpo,Bosphore Tropical Fever Panel Kit v2,Turkey,European Region,Molecular,Regulatory Achieved,CE-IVDD,Chikungunya virus; Dengue virus; Plasmodium Species; West Nile virus; Zika virus,Unspecified,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Serum; Urine; Whole Blood; Other,Istanbul,NA,Yes,https://anatoliageneworks.com/en/index.asp,Turkey,"Istanbul, Turkey",41.01300049,28.96380043
Chikungunya; Dengue,Anatolia Tan ve Biyoteknoloji A.S.,a2r69000007lbpr,Bosphore dengue-Chikungunya Detection Kit,Turkey,European Region,Molecular,Regulatory Achieved,CE-IVDD,Chikungunya virus; Dengue virus,Unspecified,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Serum; Urine; Whole Blood,Istanbul,NA,Yes,https://anatoliageneworks.com/en/index.asp,Turkey,"Istanbul, Turkey",41.01300049,28.96380043
Dengue,Anatolia Tan ve Biyoteknoloji A.S.,a2r69000007lbpq,Bosphore dengue Virus Genotyping Kit v1,Turkey,European Region,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,DENV-1; DENV-2; DENV-3; DENV-4,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Serum; Urine; Whole Blood,Istanbul,NA,Yes,https://anatoliageneworks.com/en/index.asp,Turkey,"Istanbul, Turkey",41.01300049,28.96380043
Gastroenteritis; Salmonellosis (Non-Typhoidal),Anatolia Tan ve Biyoteknoloji A.S.,a2r69000007lbps,Bosphore Gastroenteritis Panel Kit v1,Turkey,European Region,Molecular,Regulatory Achieved,CE-IVDD,Adenovirus; Astrovirus; Campylobacter spp; Norovirus; Rotavirus; Salmonella spp.,Other,DNA,Unknown,NAT reagent kit (open source),Lab-based,Stool,Istanbul,NA,Yes,https://anatoliageneworks.com/en/index.asp,Turkey,"Istanbul, Turkey",41.01300049,28.96380043
Gastroenteritis; Salmonellosis (Non-Typhoidal),Applied BioCode Inc.,a2r69000007lbrI,BioCode Gastrointestinal Pathogen Panel (GPP),United States,Region of the Americas,Molecular,Regulatory Achieved,CE-IVDD; US FDA 510k,Adenovirus; Campylobacter coli; Campylobacter jejuni; Cryptosporidium hominis; Cryptosporidium parvum; Entamoeba histolytica; Escherichia coli; Giardia lamblia; Norovirus; Rotavirus; Salmonella spp.; Shigella spp; Vibrio parahaemolyticus; Vibrio spp; Yersinia enterocolitica,Other,DNA,Unknown,NAT reagent kit (proprietary platform),Lab-based,Stool,Santa Fe Springs,BioCode MDx-3000 system,Yes,https://apbiocode.com,United States,"Santa Fe Springs, United States",33.94618225,-118.08626556
Dengue,Artron Laboratories Inc.,a2r69000007lbg9,DENGUE VIRUS IGG/IGM Antibody&NS1 ANTIGEN TEST CASSETTE FORMAT (WHOLE BLOOD),Canada,Region of the Americas,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological) + Antigen,Anti-DENV IgG; Anti-DENV IgM; DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Whole Blood,Burnaby,NA,Yes,https://artronlab.com,Canada,"Burnaby, Canada",49.24377441,-122.98169708
Dengue,Artron Laboratories Inc.,a2r69000007lbgA,DENGUE VIRUS IGG/IGM AntibodyTEST CASSETTE FORMAT,Canada,Region of the Americas,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Burnaby,NA,Yes,https://artronlab.com,Canada,"Burnaby, Canada",49.24377441,-122.98169708
Dengue,Artron Laboratories Inc.,a2r69000007lbgB,DENGUE VIRUS IGG/IGM AntibodyTEST CASSETTE FORMAT(WHOLE BLOOD),Canada,Region of the Americas,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Whole Blood,Burnaby,NA,Yes,https://artronlab.com,Canada,"Burnaby, Canada",49.24377441,-122.98169708
Dengue,"Asan Pharmaceutical Co., ltd.",a2r69000007lbgQ,Asan Easy Test Dengue IgG;IgM,"Korea, Republic of",Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Seoul,NA,Yes,https://asanpharm.com,South Korea,"Seoul, Korea, Republic of",37.56829453,126.99778748
Dengue,"Asan Pharmaceutical Co., ltd.",a2r69000007lbgP,Asan Easy Test Dengue DUO,"Korea, Republic of",Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological) + Antigen,DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Seoul,NA,Yes,https://asanpharm.com,South Korea,"Seoul, Korea, Republic of",37.56829453,126.99778748
Dengue,"Assure Tech. (Hangzhou) Co., ltd.",a2r69000007lbbD,Dengue IgG;IgM (CE),China,Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Unknown,Hangzhou,NA,Yes,https://diareagent.com,China,"Hangzhou, China",30.24592018,120.21079254
Dengue,"Assure Tech. (Hangzhou) Co., ltd.",a2r69000007lbbH,Dengue NS1,China,Western Pacific Region,Immunoassay,Regulatory Achieved,Brazil ANVISA; CE-IVDD,Dengue virus,Unspecified,Antigen,DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Unknown,Hangzhou,NA,Yes,https://diareagent.com,China,"Hangzhou, China",30.24592018,120.21079254
Enteric fever; Paratyphoid fever; Typhoid fever,"Assure Tech. (Hangzhou) Co., ltd.",a2r69000007lbbL,Salmonella Typhi/Para TYPHI ANTIGEN (triline),China,Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Salmonella Paratyphi; Salmonella Typhi,S.paratyphi A,Antigen,Salmonella antigen A,Rapid diagnostic test (strip or cassette),True Point of Care,Stool,Hangzhou,NA,Yes,https://diareagent.com,China,"Hangzhou, China",30.24592018,120.21079254
