date_of_submission,manufacturer,submission_id,submission_title,country,region,stage_of_development,regulatory_status,type_of_technology,assay_aim,syndromes,other_target_pathogen,permalink,planned_market_entry,primary_use_case,ID_type,disease_target,assay_target,organism_classes,target_pathogen,target_analyte,technology_principle,readout_technology,other_readout_technology,qualitative_or_quantitative,antimicrobial_resistance_class,resistance_marker,other_antimicrobial_resistance_class,Drug_resistance_target,Other Drug resistance target,AST_output,test_format,other_test_format,instrument_requirement,level_of_automation,lab_vs_poc,self_testing_self_collection,validated_sample_types,other_validated_sample_type,time_to_results_excl_prep,city,test_to_be_listed_on_finds_web_page,country_tmp,city2,lat,lng
25.05.2023,Abbott Laboratories,a2r69000007laPH,BIOLINE Legionella Ag,United States,Region of the Americas,Regulatory Status Unknown,Unknown,Immunoassay,ID,Lower Respiratory Tract Infections,NA,https://abbott.com,Already on the market (commercialized),"Monitoring (treatment, immune status, patient); Diagnostic/confirmatory test",Presumptive identification,Unspecified,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urine,NA,15,Abbott Park,Yes,United States,"Abbott Park, United States",41.71919632,-87.62211609
25.05.2023,TECHLAB,a2r69000007laOj,SHIGA TOXIN QUIK CHEK,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; Health Canada; US FDA 510k,Immunoassay,ID,Gastro-intestinal Infections,NA,https://techlab.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Gastroenteritis,Antigen,Bacteria (Gram-),Escherichia coli,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,Standard lab instrumentation is required,Manual,near Point of Care,Intended for professional use only,Colony/plate; Stool; Stool (Faeces) Culture,NA,30,Blacksburg,Yes,United States,"Blacksburg, United States",37.22578049,-80.4101181
25.05.2023,"Assure Tech. (Hangzhou) Co., ltd.",a2r69000007laPK,Assure Tech Legionella Urinary Antigen test,China,Western Pacific Region,Regulatory Status Unknown,Unknown,Immunoassay,ID,Lower Respiratory Tract Infections; Upper Respiratory Tract Infections,NA,https://diareagent.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urine,NA,NA,Hangzhou,Yes,China,"Hangzhou, China",30.24592018,120.21079254
25.05.2023,TECHLAB,a2r69000007laOi,H. PYLORI QUIK CHEK,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; Health Canada; US FDA 510k,Immunoassay,ID,Gastro-intestinal Infections,NA,https://techlab.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Helicobacter pylori,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,Standard lab instrumentation is required,Manual,near Point of Care,Intended for professional use only,Stool,NA,30,Blacksburg,Yes,United States,"Blacksburg, United States",37.22578049,-80.4101181
25.05.2023,Biosynex SA,a2r69000007laPJ,BIOSYNEX Legionella pneumophila BSS,France,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Lower Respiratory Tract Infections,NA,https://biosynex.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urine,NA,NA,ILLKIRCH-GRAFFENSTADEN,Yes,France,"ILLKIRCH-GRAFFENSTADEN, France",48.52934265,7.71107864
25.05.2023,Citest Diagnostics Inc.,a2r69000007laOl,Clostridium difficile GDH+ Toxin A +Toxin B Rapid Test,Canada,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Gastro-intestinal Infections,NA,https://citestdiagnostics.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram+),Clostridioides difficile,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Stool,NA,10,Vancouver,Yes,Canada,"Vancouver, Canada",49.26356506,-123.13857269
25.05.2023,Coris BioConcept,a2r69000007laPM,Legionella K-SeT,Belgium,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Lower Respiratory Tract Infections,NA,https://corisbio.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urine,NA,15,Gembloux,Yes,Belgium,"Gembloux, Belgium",50.56044006,4.69319773
25.05.2023,TECHLAB,a2r69000007laOk,CAMPYLOBACTER QUIK CHEK,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; Health Canada; US FDA 510k,Immunoassay,ID,Gastro-intestinal Infections,Campylobacter lari; Campylobacter upsaliensis,https://techlab.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Gastroenteritis,Antigen,Bacteria (Gram-),Campylobacter coli; Campylobacter jejuni; Other,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,Standard lab instrumentation is required,Manual,near Point of Care,Intended for professional use only,Stool,NA,30,Blacksburg,Yes,United States,"Blacksburg, United States",37.22578049,-80.4101181
25.05.2023,"Assure Tech. (Hangzhou) Co., ltd.",a2r69000007laPL,Assure Tech S. pneumoniae+ Legionella 2 in 1,China,Western Pacific Region,Regulatory Status Unknown,Unknown,Immunoassay,ID,Lower Respiratory Tract Infections; Upper Respiratory Tract Infections,NA,https://diareagent.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram+); Bacteria (Gram-),Legionella pneumophila; Streptococcus pneumoniae,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urine,NA,NA,Hangzhou,Yes,China,"Hangzhou, China",30.24592018,120.21079254
25.05.2023,FASTinov S.A.,a2r69000007laOn,FASTgramneg AST,Portugal,European Region,Regulatory Achieved,CE-IVDD,Growth based,Phenotypic AST,Bloodstream Infections,Pseudomonas spp; Acinetobacter spp,https://fastinov.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,Growth/metabolism,Bacteria (Gram-),Enterobacterales; Other,Unknown,Culture,Colorimetric,NA,NA,CPO; ESBL,Not applicable,NA,Amikacin; Ampicillin; Cefepime; Cefotaxime; Ceftazidime; Ciprofloxacin; Gentamicin; Meropenem; Piperacilin/Tazobactam; Other,Amoxacillin-clavulanic acid; Ceftalozane-tazobactam; Ceftazidime-avibactam,S/I/R,Other,Plate,Unknown,Manual,Lab-based,Intended for professional use only,Unknown,NA,NA,Porto,Yes,Portugal,"Porto, Portugal",41.15015411,-8.61031818
25.05.2023,ELITechGroup,a2r69000007laPO,Pneumocystis ELITe MGB Kit,France,European Region,Regulatory Achieved,CE-IVDD,Molecular,ID,Lower Respiratory Tract Infections,Pneumocystis jirovecii,https://elitechgroup.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,DNA,Fungi,Other,Unknown,qPCR,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,NAT reagent kit (proprietary platform),NA,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,Intended for professional use only,Bronchoalveolar lavage; Sputum,NA,150,Puteaux,Yes,France,"Puteaux, France",48.88328552,2.23760176
25.05.2023,FASTinov S.A.,a2r69000007laOm,FASTgrampos AST,Portugal,European Region,Regulatory Achieved,CE-IVDD,Growth based,Phenotypic AST,Bloodstream Infections,Staphylococcus spp; Enterococcus spp; Bacillus spp,https://fastinov.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,Growth/metabolism,Bacteria (Gram+),Other,Unknown,Culture,Colorimetric,NA,NA,Not applicable,Not applicable,NA,Ampicillin; Cefoxitin; Gentamicin; Oxacillin; Penicillin; Vancomycin; Other,Linezolid,S/I/R,Other,Plate,Unknown,Manual,Lab-based,Intended for professional use only,Unknown,NA,NA,Porto,Yes,Portugal,"Porto, Portugal",41.15015411,-8.61031818
25.05.2023,ELITechGroup,a2r69000007laPN,Respiratory Bacterial ELITe MGB Panel,France,European Region,Regulatory Achieved,CE-IVDD,Molecular,ID,Lower Respiratory Tract Infections,NA,https://elitechgroup.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,DNA,Bacteria (Gram-); Other,Chlamydia pneumoniae; Legionella pneumophila; Mycoplasma pneumoniae,Unknown,qPCR,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,NAT reagent kit (proprietary platform),NA,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,Intended for professional use only,Bronchoalveolar lavage,NA,150,Puteaux,Yes,France,"Puteaux, France",48.88328552,2.23760176
25.05.2023,Noscendo GmbH,a2r69000007laOp,DISQVER,Germany,European Region,Regulatory Achieved,CE-IVDD,Sequencing,ID,Bloodstream Infections,NA,https://noscendo.com,Already on the market (commercialized),Diagnostic/confirmatory test,Unknown,Unspecified,DNA,Bacteria (Gram+); Bacteria (Gram-); Fungi; Parasite; Virus,Unknown,Unknown,NA,Unspecified,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Unspecified,NA,Unknown,Unknown,Laboratory-developed test,Intended for professional use only,Venous blood,NA,NA,Duisburg,Yes,Germany,"Duisburg, Germany",51.43514633,6.76269102
25.05.2023,"Meridian Bioscience, Inc.",a2r69000007laPQ,MERIFLUOR Pneumocystis,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Lower Respiratory Tract Infections,Pneumocystis carinii,https://meridianbioscience.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,Unknown,Fungi,Other,Unknown,Agglutination,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Slide Agglutination,NA,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Bronchoalveolar lavage; Sputum; Other,Bronchial wash,30,Cincinnati,Yes,United States,"Cincinnati, United States",39.10369873,-84.51361084
25.05.2023,FASTinov S.A.,a2r69000007laOo,FASTcolistin MIC,Portugal,European Region,Regulatory Achieved,CE-IVDD,Growth based,Phenotypic AST,Bloodstream Infections,Pseudomonas spp; Acinetobacter spp,https://fastinov.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,Growth/metabolism,Bacteria (Gram-),Enterobacterales; Other,Unknown,Culture,Colorimetric,NA,NA,Colistin/Polymyxin resistance,Not applicable,NA,Colistin,NA,MIC,Other,Plate,Unknown,Manual,Lab-based,Intended for professional use only,Unknown,NA,NA,Porto,Yes,Portugal,"Porto, Portugal",41.15015411,-8.61031818
25.05.2023,"Meridian Bioscience, Inc.",a2r69000007laPP,TRU Legionella,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Lower Respiratory Tract Infections,NA,https://meridianbioscience.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urine,NA,20,Cincinnati,Yes,United States,"Cincinnati, United States",39.10369873,-84.51361084
25.05.2023,ELITechGroup,a2r69000007laOr,Rapid Polymyxin Pseudomonas,France,European Region,Regulatory Achieved,CE-IVDD,Chemical/Biochemical,Phenotypic AST,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,NA,https://elitechgroup.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,Growth/metabolism,Bacteria (Gram-),Pseudomonas aeruginosa,Unknown,Enzymatic assays,Colorimetric,NA,NA,Colistin/Polymyxin resistance,Not applicable,NA,Colistin; Other,Polymyxin B,S/R,Other,Tray,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Colony/plate,NA,240,Puteaux,Yes,France,"Puteaux, France",48.88328552,2.23760176
25.05.2023,OPERON,a2r69000007laPS,Simple/Stick Legio pneumo,Spain,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Lower Respiratory Tract Infections,NA,https://operon.es,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,A proprietary/new instrument is optional,Manual,True Point of Care,Intended for professional use only,Urine,NA,20,Zaragoza,Yes,Spain,"Zaragoza, Spain",41.65683746,-0.87942451
25.05.2023,ELITechGroup,a2r69000007laOq,Rapid Polymyxin NP,France,European Region,Regulatory Achieved,CE-IVDD,Chemical/Biochemical,Phenotypic AST,Bloodstream Infections,NA,https://elitechgroup.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,Growth/metabolism,Bacteria (Gram-),Enterobacterales,Unknown,Enzymatic assays,Colorimetric,NA,NA,Colistin/Polymyxin resistance,Not applicable,NA,Colistin; Other,Polymyxin B; Polymyxin E,S/R,Other,Tray,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Blood Culture; Colony/plate,NA,180,Puteaux,Yes,France,"Puteaux, France",48.88328552,2.23760176
25.05.2023,Acro Biotech Inc.,a2r69000007laPR,Legionella pneumophila Rapid Test Cassette,United States,Region of the Americas,Regulatory Status Unknown,Unknown,Immunoassay,ID,Lower Respiratory Tract Infections,NA,https://acrobiotech.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urine,NA,NA,Rancho Cucamonga,Yes,United States,"Rancho Cucamonga, United States",34.10639954,-117.57576752
25.05.2023,Coris BioConcept,a2r69000007laOt,BL-RED 25,Belgium,European Region,Regulatory Achieved,CE-IVDD,Chemical/Biochemical,Resistance,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,NA,https://corisbio.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,Growth/metabolism,Bacteria (Gram-),Enterobacterales,Unknown,Enzymatic assays,Electrochemical,NA,NA,ESBL,AmpC,NA,Not applicable,NA,Not applicable,Other,Electrochemical kit,A proprietary/new instrument is required,Manual,Lab-based,Intended for professional use only,Blood Culture; Colony/plate,NA,15,Gembloux,Yes,Belgium,"Gembloux, Belgium",50.56044006,4.69319773
25.05.2023,LumiQuick Diagnostics Inc.,a2r69000007laPU,Legionella Pneumonia Urinary Antigen Test Card,United States,Region of the Americas,Regulatory Status Unknown,Unknown,Immunoassay,ID,Lower Respiratory Tract Infections,NA,https://lumiquick.co,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urine,NA,NA,Santa Clara,Yes,United States,"Santa Clara, United States",37.3523941,-121.95307922
25.05.2023,ELITechGroup,a2r69000007laOs,Rapid Polymyxin Acinetobacter,France,European Region,Regulatory Achieved,CE-IVDD,Chemical/Biochemical,Phenotypic AST,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,NA,https://elitechgroup.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,Growth/metabolism,Bacteria (Gram-),Acinetobacter baumannii,Unknown,Enzymatic assays,Colorimetric,NA,NA,Colistin/Polymyxin resistance,Not applicable,NA,Colistin; Other,Polymyxin B,S/R,Other,Tray,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Blood Culture; Colony/plate,NA,240,Puteaux,Yes,France,"Puteaux, France",48.88328552,2.23760176
25.05.2023,Biozek Medical,a2r69000007laPT,Biozek Legionella Pneumophila antigen Test,Netherlands,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Lower Respiratory Tract Infections,NA,https://biozek.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urine,NA,NA,Apeldoorn,Yes,Netherlands,"Apeldoorn, Netherlands",52.21632385,5.96462202
25.05.2023,VIDIA spol. s r.o.,a2r69000007laNu,Rapid-VIDITEST Yersinia enterocolitica O:9 Card,Czech Republic,European Region,Regulatory Status Unknown,Unknown,Immunoassay,ID,Gastro-intestinal Infections,NA,https://vidia.cz,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Yersinia enterocolitica,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Stool,NA,15,NA,Yes,Czech Republic,Czech Republic,49.73923874,15.3317976
25.05.2023,CERTEST BIOTEC SL,a2r69000007laOV,CerTest GDH+Lactoferrin one step combo card test,Spain,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Gastro-intestinal Infections,NA,https://certest.es/,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram+),Clostridioides difficile,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,Standard lab instrumentation is required,Manual,near Point of Care,Intended for professional use only,Stool,NA,10,San Mateo de Gallego,Yes,Spain,"San Mateo de Gallego, Spain",41.83060074,-0.76907343
