"Test Directory Package ID","Assay: Assay ID","Performance Detail Submission ID","Created Date","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: City","Assay: Company/Institution Name: WHO Region","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Organisation Name","Assay: Assay Name","Assay: Primary Use Case","Assay: Assay Aim","Assay: Disease Target","Assay: Target Pathogen","Assay: Stage of Development","Assay: Regulatory Approval","Assay: Other Regulatory Approval","Assay: Planned Market Entry","Assay: Type of Technology","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: Lab vs. POC","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Study Type","FIND Evaluation","Assay Target","Total number of samples","Number of positive samples","Number of negative samples","Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Assay: Potential impact (in silico analyses)","Assay: No impact (analytical/clinical studies)","Assay: Impact (analytical/clinical studies)","Assay: No expected impact (in silico analyses)","Assay: S gene dropout","Assay: SARS-CoV-2 variant(s)","Created By: Full Name","Last Modified By: Full Name","Instrument: Instrument ID","Instrument: Instrument Name","Instrument: Connectivity Solution","Assay: FIND Website Area"
"a2v69000004gL28","a2r69000007lbTu","","06.07.2023","Korea, Republic of","Hwaseong-si","Western Pacific Region","bionote.co.kr","Bionote, Inc.","NowCheck COVID-19 Ag Test - nasal","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Argentina ANMAT; Australia TGA; Brazil ANVISA; CE-IVDD; Guatemala DGVRCS; Honduras DGVMN; Philippines FDA; Other","Poland, Russia","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab; Nasopharyngeal swab","","15.00","Yes","","","","","","","","","","","","","","None","Beta; Delta; Gamma","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL0v","a2r69000007lbsu","","06.07.2023","China","Unknown","Western Pacific Region","biocomma.com","Biocomma limited","biocomma COVID-19 Antigen Test Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","","15.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL0w","a2r69000007lbRU","","06.07.2023","Korea, Republic of","Seoul","Western Pacific Region","bio-core.com/biocore/en/index.do","BioCore Co., ltd.","BioCore 2019-nCoV Real Time PCR Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; Korea MFDS; US FDA EUA","","Already on the market (commercialized)","Molecular","RNA","N gene; RdRp gene","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Sputum","","","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL29","a2r69000007lbhm","","06.07.2023","Korea, Republic of","Hwaseong-si","Western Pacific Region","bionote.co.kr","Bionote, Inc.","NowCheck COVID-19 Ag Test","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Argentina ANMAT; Australia TGA; Brazil ANVISA; CE-IVDD; Guatemala DGVRCS; Honduras DGVMN; Philippines FDA; Other","Poland, Russia","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab; Nasopharyngeal swab","","15.00","Yes","","","","","","","","","","","","","","None","Beta; Delta; Gamma","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL0z","a2r69000007lbVK","","06.07.2023","Turkey","Istanbul","European Region","bioeksen.com.tr","Bioeksen R&D Technologies Inc.","Bio-Speedy SARS-CoV-2 (2019-nCoV) qPCR Detection Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Molecular","RNA","RdRp gene","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Bronchoalveolar lavage; Nasal swab; Nasopharyngeal swab; Oropharyngeal swab","","","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL0y","a2r69000007lbTd","","06.07.2023","Turkey","Istanbul","European Region","bioeksen.com.tr","Bioeksen R&D Technologies Inc.","Bio-Speedy SARS-CoV-2 (2019-nCoV) qPCR Detection Kit.","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","WHO EUL","","Already on the market (commercialized)","Molecular","RNA","RdRp gene","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Bronchoalveolar lavage; Nasal swab; Nasopharyngeal swab; Oropharyngeal swab; Sputum","","50.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL1E","a2r69000007lbRV","","06.07.2023","United States","Fremont","Region of the Americas","biogenex.com/?v=79cba1185463","BioGenex Laboratories","BGX COVID-19 RT-PCR (one-step multiplex real time RT-PCR)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Research Use Only (RUO)","None","","Already on the market (commercialized)","Molecular","RNA","N gene","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","90.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL0c","a2r69000007lc0a","","06.07.2023","Canada","Coquitlam","Region of the Americas","rapidtest.ca","Biocan Diagnostics Inc","Tell Me Fast COVID19 Antigen Test","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Mid-turbinate swab; Nasal swab; Nasopharyngeal swab; Oropharyngeal swab","","10.00","Yes","","","","","","","","","","","","","","None","None","None","Alpha; Beta","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL1G","a2r69000007lbt2","","06.07.2023","Italy","Unknown","European Region","biogms.it","BIO GROUP MEDICAL SYSTEM","COVID-19 Antigen Rapid Test Cassette","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab; Nasopharyngeal swab; Oropharyngeal swab","","15.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL1F","a2r69000007lbtX","","06.07.2023","Croatia","Unknown","European Region","biognost.hr","BioGnost Ltd","CoviGnost AG test devices","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","","15.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL1I","a2r69000007lb6T","","06.07.2023","China","Hefei","Western Pacific Region","biouhan.com","Biohit Healthcare (Hefei) Co., Ltd.","SARS-CoV-2 Antigen test kit Enzyme-linked Immunoassay","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","ELISA/EIA","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum","","","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL1H","a2r69000007lbjf","","06.07.2023","United States","Birmingham","Region of the Americas","biogx.com","BioGX","BioGX Xfree COVID-19 Direct RT-PCR","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","US FDA EUA","","Already on the market (commercialized)","Molecular","RNA","N gene","qPCR","","Fluorescence","NAT reagent kit (proprietary platform)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasal swab; Nasopharyngeal swab; Oropharyngeal swab","","","Yes","","","","","","","","","","","","","","None","None","None","Alpha; Beta; Delta; Delta+; Gamma; Omicron","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL1K","a2r69000007lbSy","","06.07.2023","China","Hefei","Western Pacific Region","biouhan.com","Biohit Healthcare (Hefei) Co., Ltd.","SARS-CoV-2 Antigen Rapid Test (Colloidal Gold Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Colloidal Gold Method","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","","15.00","Yes","","","","","","","","","","","","","","None","Beta","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL1J","a2r69000007lb7x","","06.07.2023","China","Hefei","Western Pacific Region","biouhan.com","Biohit Healthcare (Hefei) Co., Ltd.","SARS-CoV-2 Antigen quantitative assay kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; Brazil ANVISA; CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","ELISA/EIA","","Colorimetric","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","0.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL1M","a2r69000007lbxz","","06.07.2023","China","Hefei","Western Pacific Region","biouhan.com","Biohit Healthcare (Hefei) Co., Ltd.","Hough COVID-19 Home Test","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","","15.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL1L","a2r69000007lbMw","","06.07.2023","China","Hefei","Western Pacific Region","biouhan.com","Biohit Healthcare (Hefei) Co., Ltd.","SARS-CoV-2 IgM/IgG antibody test kit (Colloidal Gold Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; US FDA EUA; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Venous blood","","15.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL20","a2r69000007lbM2","","06.07.2023","Korea, Republic of","Daejeon","Western Pacific Region","bioneer.com","Bioneer Corporation","AccuPower SARS-CoV-2 Multiplex Real-Time RT-PCR Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; India CDSCO; Indonesia MDR; Korea MFDS; Philippines FDA","India, Indonesia; Korea export only","Already on the market (commercialized)","Molecular","RNA","E gene; N gene; ORF1ab","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Sputum","","90.00","Yes","","","","","","","","","","","","","","None","None","None","Alpha; Beta","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
