"Test Directory Package ID","Assay: Assay ID","Performance Detail Submission ID","Created Date","Assay: Company/Institution Name: City","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: WHO Region","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Organisation Name","Assay: Assay Name","Assay: Primary Use Case","Assay: Assay Aim","Assay: Disease Target","Assay: Disease Target Phase","Assay: Target Pathogen","Assay: Stage of Development","Assay: Regulatory Approval","Assay: Planned Market Entry","Assay: Type of Technology","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Resistance Marker","Assay: Other resistance marker","Assay: Drug Resistance Target","Assay: Other drug resistance target","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: Lab vs. POC","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Perf Submission Title","Performance Detail Submission Number","Assay Target","Study Type","Type of data source","Drug Resistance Target","Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Target Patient Group","Sample Type","Total number of samples","Number of positive samples","Number of negative samples","Other drug resistance target","Assay: Other Regulatory Approval","Assay: Purpose of submission"
"a2v69000004gKre","a2r69000007lbEo","a266900000B8tqv","06.07.2023","Carlsbad","United States","Region of the Americas","autogenomics.com/?q=node/42","Autogenomics","INFINITIMTB Assay","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Research Use Only (RUO)","None","Already on the market (commercialized)","Molecular","DNA","Unknown","qPCR","Microarray","Fluorescence","katG; pncA; rpoB","KatG315 (for INHR); RpoB511-533 (for RIFR); and PncA57","Isoniazid; Pyrazinamide; Rifampicin","","Cartridge-based processing","microarray chip based","A proprietary/new instrument is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Unknown","","","Yes","No","","PD-57867","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gKrR","a2r69000007lbF6","a266900000B8trE","06.07.2023","Daejeon","Korea, Republic of","Western Pacific Region","bioneer.com","Bioneer Corporation","IRON qPCR RFIA kit (preXDR-TB)","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Late Stage Development (fully functional prototype)","None","Unspecified Market Entry","Molecular","DNA","Unknown","qPCR","","Fluorescence","Unknown","","Amikacin; Fluoroquinolone; Isoniazid; Kanamycin; Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Fully automated (including sample preparation)","near Point of Care","Intended for professional use only","Sputum","","60.00","Yes","No","","PD-57886","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gKqt","a2r69000007lb94","a266900000B8trI","06.07.2023","Sunnyvale","United States","Region of the Americas","cepheid.com","Cepheid","Xpert MTB/RIF","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Israel Ministry of Health; US FDA 510k; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB rpoB gene","qPCR","","Fluorescence","rpoB","rpoB gene contianing the 81 base pair core region (5 probes); for mutations within the rifampicin-resistance determining region (RRDR)","Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Sputum Sediment","90.00","Yes","No","RIF detection (against AFB smear positive subjects )","PD-57890","DNA","Company-Sponsored","Instructions for Use (IFU)","Not applicable","99.70","98.40","99.90","98.50","91.90","99.70","Active TB","Sputum","417","351","66","","","Test Directory"
"a2v69000004gKqt","a2r69000007lb94","a266900000B8trJ","06.07.2023","Sunnyvale","United States","Region of the Americas","cepheid.com","Cepheid","Xpert MTB/RIF","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Israel Ministry of Health; US FDA 510k; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB rpoB gene","qPCR","","Fluorescence","rpoB","rpoB gene contianing the 81 base pair core region (5 probes); for mutations within the rifampicin-resistance determining region (RRDR)","Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Sputum Sediment","90.00","Yes","No","RIF detection (against AFB smear negative subjects )","PD-57891","DNA","Company-Sponsored","Instructions for Use (IFU)","Not applicable","76.10","67.60","82.90","98.80","97.50","99.40","Active TB","Sputum","679","117","562","","","Test Directory"
"a2v69000004gKqt","a2r69000007lb94","a266900000B8trK","06.07.2023","Sunnyvale","United States","Region of the Americas","cepheid.com","Cepheid","Xpert MTB/RIF","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Israel Ministry of Health; US FDA 510k; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB rpoB gene","qPCR","","Fluorescence","rpoB","rpoB gene contianing the 81 base pair core region (5 probes); for mutations within the rifampicin-resistance determining region (RRDR)","Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Sputum Sediment","90.00","Yes","Yes","TB detection from sputum","PD-57892","DNA","Independent","Other","Not applicable","85.00","82.00","88.00","98.00","97.00","98.00","Active TB","Sputum","37237","","","","","Test Directory"
"a2v69000004gKqt","a2r69000007lb94","a266900000B8trL","06.07.2023","Sunnyvale","United States","Region of the Americas","cepheid.com","Cepheid","Xpert MTB/RIF","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Israel Ministry of Health; US FDA 510k; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB rpoB gene","qPCR","","Fluorescence","rpoB","rpoB gene contianing the 81 base pair core region (5 probes); for mutations within the rifampicin-resistance determining region (RRDR)","Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Sputum Sediment","90.00","Yes","Yes","TB detection from sputum  (smear positive)","PD-57893","DNA","Independent","Other","Not applicable","98.00","97.00","98.00","","","","Active TB","Sputum","18275","","","","","Test Directory"
"a2v69000004gKqt","a2r69000007lb94","a266900000B8trM","06.07.2023","Sunnyvale","United States","Region of the Americas","cepheid.com","Cepheid","Xpert MTB/RIF","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Israel Ministry of Health; US FDA 510k; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB rpoB gene","qPCR","","Fluorescence","rpoB","rpoB gene contianing the 81 base pair core region (5 probes); for mutations within the rifampicin-resistance determining region (RRDR)","Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Sputum Sediment","90.00","Yes","Yes","TB detection from sputum (smear negative)","PD-57894","DNA","Independent","Other","Not applicable","67.00","62.00","72.00","98.00","98.00","99.00","Active TB","Sputum","18962","","","","","Test Directory"
"a2v69000004gKqt","a2r69000007lb94","a266900000B8trN","06.07.2023","Sunnyvale","United States","Region of the Americas","cepheid.com","Cepheid","Xpert MTB/RIF","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Israel Ministry of Health; US FDA 510k; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB rpoB gene","qPCR","","Fluorescence","rpoB","rpoB gene contianing the 81 base pair core region (5 probes); for mutations within the rifampicin-resistance determining region (RRDR)","Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Sputum Sediment","90.00","Yes","Yes","RIF detection from sputum","PD-57895","DNA","Independent","Other","Rifampicin","96.00","94.00","97.00","98.00","98.00","99.00","Active TB","Sputum","8020","","","","","Test Directory"
"a2v69000004gKqv","a2r69000007lb94","a266900000B8trU","06.07.2023","Sunnyvale","United States","Region of the Americas","cepheid.com","Cepheid","Xpert MTB/RIF","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Israel Ministry of Health; US FDA 510k; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB rpoB gene","qPCR","","Fluorescence","rpoB","rpoB gene contianing the 81 base pair core region (5 probes); for mutations within the rifampicin-resistance determining region (RRDR)","Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Sputum Sediment","90.00","Yes","No","RIF detection (against AFB smear positive subjects )","PD-57902","DNA","Company-Sponsored","Instructions for Use (IFU)","Not applicable","99.70","98.40","99.90","98.50","91.90","99.70","Active TB","Sputum","417","351","66","","","Test Directory"
"a2v69000004gKqv","a2r69000007lb94","a266900000B8trV","06.07.2023","Sunnyvale","United States","Region of the Americas","cepheid.com","Cepheid","Xpert MTB/RIF","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Israel Ministry of Health; US FDA 510k; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB rpoB gene","qPCR","","Fluorescence","rpoB","rpoB gene contianing the 81 base pair core region (5 probes); for mutations within the rifampicin-resistance determining region (RRDR)","Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Sputum Sediment","90.00","Yes","No","RIF detection (against AFB smear negative subjects )","PD-57903","DNA","Company-Sponsored","Instructions for Use (IFU)","Not applicable","76.10","67.60","82.90","98.80","97.50","99.40","Active TB","Sputum","679","117","562","","","Test Directory"
"a2v69000004gKqv","a2r69000007lb94","a266900000B8trW","06.07.2023","Sunnyvale","United States","Region of the Americas","cepheid.com","Cepheid","Xpert MTB/RIF","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Israel Ministry of Health; US FDA 510k; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB rpoB gene","qPCR","","Fluorescence","rpoB","rpoB gene contianing the 81 base pair core region (5 probes); for mutations within the rifampicin-resistance determining region (RRDR)","Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Sputum Sediment","90.00","Yes","Yes","TB detection from sputum","PD-57904","DNA","Independent","Other","Not applicable","85.00","82.00","88.00","98.00","97.00","98.00","Active TB","Sputum","37237","","","","","Test Directory"
"a2v69000004gKqv","a2r69000007lb94","a266900000B8trX","06.07.2023","Sunnyvale","United States","Region of the Americas","cepheid.com","Cepheid","Xpert MTB/RIF","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Israel Ministry of Health; US FDA 510k; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB rpoB gene","qPCR","","Fluorescence","rpoB","rpoB gene contianing the 81 base pair core region (5 probes); for mutations within the rifampicin-resistance determining region (RRDR)","Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Sputum Sediment","90.00","Yes","Yes","TB detection from sputum  (smear positive)","PD-57905","DNA","Independent","Other","Not applicable","98.00","97.00","98.00","","","","Active TB","Sputum","18275","","","","","Test Directory"
"a2v69000004gKqv","a2r69000007lb94","a266900000B8trY","06.07.2023","Sunnyvale","United States","Region of the Americas","cepheid.com","Cepheid","Xpert MTB/RIF","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Israel Ministry of Health; US FDA 510k; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB rpoB gene","qPCR","","Fluorescence","rpoB","rpoB gene contianing the 81 base pair core region (5 probes); for mutations within the rifampicin-resistance determining region (RRDR)","Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Sputum Sediment","90.00","Yes","Yes","TB detection from sputum (smear negative)","PD-57906","DNA","Independent","Other","Not applicable","67.00","62.00","72.00","98.00","98.00","99.00","Active TB","Sputum","18962","","","","","Test Directory"
"a2v69000004gKqv","a2r69000007lb94","a266900000B8trZ","06.07.2023","Sunnyvale","United States","Region of the Americas","cepheid.com","Cepheid","Xpert MTB/RIF","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Israel Ministry of Health; US FDA 510k; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB rpoB gene","qPCR","","Fluorescence","rpoB","rpoB gene contianing the 81 base pair core region (5 probes); for mutations within the rifampicin-resistance determining region (RRDR)","Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Sputum Sediment","90.00","Yes","Yes","RIF detection from sputum","PD-57907","DNA","Independent","Other","Rifampicin","96.00","94.00","97.00","98.00","98.00","99.00","Active TB","Sputum","8020","","","","","Test Directory"
"a2v69000004gKqu","a2r69000007lb94","a266900000B8trO","06.07.2023","Sunnyvale","United States","Region of the Americas","cepheid.com","Cepheid","Xpert MTB/RIF","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Israel Ministry of Health; US FDA 510k; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB rpoB gene","qPCR","","Fluorescence","rpoB","rpoB gene contianing the 81 base pair core region (5 probes); for mutations within the rifampicin-resistance determining region (RRDR)","Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Sputum Sediment","90.00","Yes","No","RIF detection (against AFB smear positive subjects )","PD-57896","DNA","Company-Sponsored","Instructions for Use (IFU)","Not applicable","99.70","98.40","99.90","98.50","91.90","99.70","Active TB","Sputum","417","351","66","","","Test Directory"
"a2v69000004gKqu","a2r69000007lb94","a266900000B8trP","06.07.2023","Sunnyvale","United States","Region of the Americas","cepheid.com","Cepheid","Xpert MTB/RIF","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Israel Ministry of Health; US FDA 510k; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB rpoB gene","qPCR","","Fluorescence","rpoB","rpoB gene contianing the 81 base pair core region (5 probes); for mutations within the rifampicin-resistance determining region (RRDR)","Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Sputum Sediment","90.00","Yes","No","RIF detection (against AFB smear negative subjects )","PD-57897","DNA","Company-Sponsored","Instructions for Use (IFU)","Not applicable","76.10","67.60","82.90","98.80","97.50","99.40","Active TB","Sputum","679","117","562","","","Test Directory"
"a2v69000004gKqu","a2r69000007lb94","a266900000B8trQ","06.07.2023","Sunnyvale","United States","Region of the Americas","cepheid.com","Cepheid","Xpert MTB/RIF","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Israel Ministry of Health; US FDA 510k; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB rpoB gene","qPCR","","Fluorescence","rpoB","rpoB gene contianing the 81 base pair core region (5 probes); for mutations within the rifampicin-resistance determining region (RRDR)","Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Sputum Sediment","90.00","Yes","Yes","TB detection from sputum","PD-57898","DNA","Independent","Other","Not applicable","85.00","82.00","88.00","98.00","97.00","98.00","Active TB","Sputum","37237","","","","","Test Directory"
"a2v69000004gKqu","a2r69000007lb94","a266900000B8trR","06.07.2023","Sunnyvale","United States","Region of the Americas","cepheid.com","Cepheid","Xpert MTB/RIF","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Israel Ministry of Health; US FDA 510k; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB rpoB gene","qPCR","","Fluorescence","rpoB","rpoB gene contianing the 81 base pair core region (5 probes); for mutations within the rifampicin-resistance determining region (RRDR)","Rifampicin","","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Sputum Sediment","90.00","Yes","Yes","TB detection from sputum  (smear positive)","PD-57899","DNA","Independent","Other","Not applicable","98.00","97.00","98.00","","","","Active TB","Sputum","18275","","","","","Test Directory"
