"Test Directory Package ID","Assay: Assay ID","Performance Detail Submission ID","Created Date","Assay: FIND Website Area","Assay: Company/Institution Name: City","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: WHO Region","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Organisation Name","Assay: Assay Name","Assay: Primary Use Case","Assay: Assay Aim","Assay: Disease Target","Assay: Target Pathogen","Assay: Stage of Development","Assay: Regulatory Approval","Assay: Other Regulatory Approval","Assay: Planned Market Entry","Assay: Type of Technology","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Technology principle","Assay: Other Technology principle","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: Lab vs. POC","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Perf Submission Title","FIND Evaluation","Study Type","Type of data source","Assay Target","Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Target Patient Group","Sample Type","Total number of samples","Number of positive samples","Number of negative samples"
"a2v69000004gLbi","a2r69000007lc0N","a266900000BsdBC","06.07.2023","Neglected Tropical Diseases","Setia Alam","Malaysia","Western Pacific Region","vivantechnologies.com","Vivantis Technologies Sdn Bhd","ViPrimePLUS Trypasoma cruzi qPCR kit","","ID","Chagas Disease","Trypanosoma cruzi","Research Use Only (RUO)","None","","Already on the market (commercialized)","Molecular","RNA","Chagas 18S rRNA","qPCR","","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Whole Blood","","","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","DNA","0.00","0.00","0.00","0.00","0.00","0.00","","Whole Blood","0","0","0"
"a2v69000004gLaq","a2r69000007lboF","a266900000Bsd8x","06.07.2023","Neglected Tropical Diseases","Alençon","France","European Region","vedalab.com","VedaLab","Chagas (Trypanosoma cruzi)","","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","10.00","Yes","No","Trypanosoma cruzi BLANK","No","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0"
"a2v69000004gLc7","a2r69000007lc1H","a266900000BsdBn","06.07.2023","Neglected Tropical Diseases","Unknown","Spain","European Region","werfen.com","Werfen","BioELISA Chagas","","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Chile ANAMED; Colombia INVIMA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","100.00","Yes","No","WHO comparative study data 2010","No","Independent","Published scientific article","Antibody (serological)","100.00","97.80","100.00","99.23","97.30","99.90","","Serum","430","168","262"
"a2v69000004gLc7","a2r69000007lc1H","a266900000BsdBo","06.07.2023","Neglected Tropical Diseases","Unknown","Spain","European Region","werfen.com","Werfen","BioELISA Chagas","","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Chile ANAMED; Colombia INVIMA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","100.00","Yes","No","Caicedo Díaz comparative study 2019","No","Independent","Published scientific article","Antibody (serological)","98.05","96.16","99.94","94.69","91.68","97.70","","Whole Blood","501","256","245"
"a2v69000004gLc9","a2r69000007lc0M","a266900000BsdBv","06.07.2023","Neglected Tropical Diseases","Rosario, Santa Fe","Argentina","Region of the Americas","wiener-lab.com","Wiener Lab","T. cruzi DNA qPCR kit","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Argentina ANMAT; CE-IVDD","","Already on the market (commercialized)","Molecular","DNA","Satellite DNA","qPCR","","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Whole Blood","","","Yes","No","Benatar Evaluation of prototype 2021","No","Independent","Published scientific article","DNA","72.73","41.86","100.00","99.15","97.76","100.00","","Venous blood","246","11","235"
"a2v69000004gLc9","a2r69000007lc0M","a266900000BsdBw","06.07.2023","Neglected Tropical Diseases","Rosario, Santa Fe","Argentina","Region of the Americas","wiener-lab.com","Wiener Lab","T. cruzi DNA qPCR kit","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Argentina ANMAT; CE-IVDD","","Already on the market (commercialized)","Molecular","DNA","Satellite DNA","qPCR","","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Whole Blood","","","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","DNA","81.82","0.00","0.00","98.70","0.00","0.00","","Whole Blood","165","11","154"
"a2v69000004gLc8","a2r69000007lboZ","a266900000BsdBx","06.07.2023","Neglected Tropical Diseases","Rosario, Santa Fe","Argentina","Region of the Americas","wiener-lab.com","Wiener Lab","WL Check Chagas test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Argentina ANMAT; Bolivia AGEMED; Brazil ANVISA; CE-IVDD; Colombia INVIMA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Venous blood","","25.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","93.87","91.11","96.62","97.89","97.10","98.67","","Serum; Plasma; Whole Blood","1745","326","1419"
"a2v69000004gLc8","a2r69000007lboZ","a266900000BsdBy","06.07.2023","Neglected Tropical Diseases","Rosario, Santa Fe","Argentina","Region of the Americas","wiener-lab.com","Wiener Lab","WL Check Chagas test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Argentina ANMAT; Bolivia AGEMED; Brazil ANVISA; CE-IVDD; Colombia INVIMA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Venous blood","","25.00","Yes","No","Sachez-Camargo comparative study 2014","No","Independent","Published scientific article","Antibody (serological)","88.70","0.00","0.00","97.00","0.00","0.00","","Serum","0","0","0"
"a2v69000004gLc8","a2r69000007lboZ","a266900000BsdBz","06.07.2023","Neglected Tropical Diseases","Rosario, Santa Fe","Argentina","Region of the Americas","wiener-lab.com","Wiener Lab","WL Check Chagas test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Argentina ANMAT; Bolivia AGEMED; Brazil ANVISA; CE-IVDD; Colombia INVIMA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Venous blood","","25.00","Yes","No","Lopez Field evaluation of 2 RDTs","No","Independent","Published scientific article","Antibody (serological)","93.40","88.20","98.60","99.10","98.10","100.00","","Venous blood","580","108","472"
"a2v69000004gLc8","a2r69000007lboZ","a266900000BsdC0","06.07.2023","Neglected Tropical Diseases","Rosario, Santa Fe","Argentina","Region of the Americas","wiener-lab.com","Wiener Lab","WL Check Chagas test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Argentina ANMAT; Bolivia AGEMED; Brazil ANVISA; CE-IVDD; Colombia INVIMA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Venous blood","","25.00","Yes","No","Mendicino Combination of 2 RDTs","No","Independent","Published scientific article","Antibody (serological)","90.50","0.00","0.00","100.00","0.00","0.00","","Serum","106","42","64"
"a2v69000004gLc8","a2r69000007lboZ","a266900000CC5fp","06.07.2023","Neglected Tropical Diseases","Rosario, Santa Fe","Argentina","Region of the Americas","wiener-lab.com","Wiener Lab","WL Check Chagas test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Argentina ANMAT; Bolivia AGEMED; Brazil ANVISA; CE-IVDD; Colombia INVIMA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Venous blood","","25.00","Yes","No","FIND evaluation (Colombia)","Yes","Independent","FIND report/test evaluation","Antibody (serological)","96.41","94.82","98.00","98.94","97.57","100.00","Chronic","Serum","585","0","0"
"a2v69000004gLc8","a2r69000007lboZ","a266900000CC5fq","06.07.2023","Neglected Tropical Diseases","Rosario, Santa Fe","Argentina","Region of the Americas","wiener-lab.com","Wiener Lab","WL Check Chagas test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Argentina ANMAT; Bolivia AGEMED; Brazil ANVISA; CE-IVDD; Colombia INVIMA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Venous blood","","25.00","Yes","No","FIND evaluation (Bolivia)","Yes","Independent","FIND report/test evaluation","Antibody (serological)","95.37","91.69","97.47","98.93","96.18","99.71","Chronic","Serum","403","0","0"
"a2v69000004gLc8","a2r69000007lboZ","a266900000CC5fr","06.07.2023","Neglected Tropical Diseases","Rosario, Santa Fe","Argentina","Region of the Americas","wiener-lab.com","Wiener Lab","WL Check Chagas test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Argentina ANMAT; Bolivia AGEMED; Brazil ANVISA; CE-IVDD; Colombia INVIMA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Venous blood","","25.00","Yes","No","FIND evaluation (Argentina)","Yes","Independent","FIND report/test evaluation","Antibody (serological)","99.00","96.43","99.88","93.00","88.53","96.12","Chronic","Serum","400","0","0"
"a2v69000004gLcA","a2r69000007lc1U","a266900000BsdC1","06.07.2023","Neglected Tropical Diseases","Rosario, Santa Fe","Argentina","Region of the Americas","wiener-lab.com","Wiener Lab","Chagastest HAI","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Colombia INVIMA; Ecuador ARCSA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Agglutination","","Slide Agglutination","","No instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum","","90.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","100.00","0.00","0.00","98.00","0.00","0.00","","Serum","0","0","0"
"a2v69000004gLb2","a2r69000007lbni","a266900000Bsd9R","06.07.2023","Neglected Tropical Diseases","Granada","Spain","European Region","vircell.com","Vircell S.L.","Chagas IFA IgG + IgM","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Brazil ANVISA; CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG; Chagas IgM","Immunofluorescence Assay (microscopy)","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","100.00","0.00","0.00","98.60","0.00","0.00","","Serum; Plasma","0","0","0"
"a2v69000004gLb2","a2r69000007lbni","a266900000Bsd9S","06.07.2023","Neglected Tropical Diseases","Granada","Spain","European Region","vircell.com","Vircell S.L.","Chagas IFA IgG + IgM","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Brazil ANVISA; CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG; Chagas IgM","Immunofluorescence Assay (microscopy)","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","","Yes","No","Vircell external evaluation and comparison to other tests","No","Company-Sponsored","Other","Antibody (serological)","100.00","96.13","100.00","100.00","98.89","100.00","","Serum","550","120","430"
"a2v69000004gLb6","a2r69000007lc1J","a266900000Bsd9W","06.07.2023","Neglected Tropical Diseases","Granada","Spain","European Region","vircell.com","Vircell S.L.","Chagas TESA ELISA IgG + IgM","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","CE-IVDD; Colombia INVIMA; Ecuador ARCSA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG; Chagas IgM","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","170.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","99.00","95.00","100.00","99.00","95.00","100.00","","Serum","0","0","0"
"a2v69000004gLb5","a2r69000007lc1I","a266900000Bsd9X","06.07.2023","Neglected Tropical Diseases","Granada","Spain","European Region","vircell.com","Vircell S.L.","Chagas ELISA IgG + IgM","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","CE-IVDD; Colombia INVIMA; Ecuador ARCSA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG; Chagas IgM","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","100.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","100.00","93.00","100.00","98.00","91.00","100.00","","Serum; Plasma","0","0","0"
"a2v69000004gLb5","a2r69000007lc1I","a266900000Bsd9Y","06.07.2023","Neglected Tropical Diseases","Granada","Spain","European Region","vircell.com","Vircell S.L.","Chagas ELISA IgG + IgM","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","CE-IVDD; Colombia INVIMA; Ecuador ARCSA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG; Chagas IgM","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","100.00","Yes","No","Caicedo Díaz Comparative study data 2019","No","Independent","Published scientific article","Antibody (serological)","99.61","98.65","100.00","97.55","95.41","99.69","","Venous blood","501","256","245"
"a2v69000004gKt7","a2r69000007lboX","a266900000Bsbpt","06.07.2023","Neglected Tropical Diseases","Abbott Park","United States","Region of the Americas","abbott.com","Abbott Laboratories","SD Bioline Chagas AB rapid test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Argentina ANMAT; Bolivia AGEMED; Brazil ANVISA; CE-IVDD; Colombia INVIMA; Ecuador ARCSA; Guatemala DGVRCS; Honduras DGVMN; Paraguay DINAVISA; Peru DIGEMID; Other","Uruguay","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","15.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","99.20","0.00","0.00","100.00","0.00","0.00","","Serum; Plasma; Whole Blood","280","140","140"
"a2v69000004gKt7","a2r69000007lboX","a266900000Bsbpu","06.07.2023","Neglected Tropical Diseases","Abbott Park","United States","Region of the Americas","abbott.com","Abbott Laboratories","SD Bioline Chagas AB rapid test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Argentina ANMAT; Bolivia AGEMED; Brazil ANVISA; CE-IVDD; Colombia INVIMA; Ecuador ARCSA; Guatemala DGVRCS; Honduras DGVMN; Paraguay DINAVISA; Peru DIGEMID; Other","Uruguay","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","15.00","Yes","No","Sachez-Camargo comparative study 2014","No","Independent","Published scientific article","Antibody (serological)","90.70","0.00","0.00","94.00","0.00","0.00","","Serum","0","0","0"
"a2v69000004gKt7","a2r69000007lboX","a266900000Bsbpv","06.07.2023","Neglected Tropical Diseases","Abbott Park","United States","Region of the Americas","abbott.com","Abbott Laboratories","SD Bioline Chagas AB rapid test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Argentina ANMAT; Bolivia AGEMED; Brazil ANVISA; CE-IVDD; Colombia INVIMA; Ecuador ARCSA; Guatemala DGVRCS; Honduras DGVMN; Paraguay DINAVISA; Peru DIGEMID; Other","Uruguay","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","15.00","Yes","No","Lopez Field evaluation of 2 RDTs","No","Independent","Published scientific article","Antibody (serological)","97.20","93.50","100.00","97.70","96.20","99.20","","Venous blood","580","108","472"
