"Test Directory Package ID","Assay: Assay ID","Performance Detail Submission ID","Created Date","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: City","Assay: Company/Institution Name: WHO Region","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Organisation Name","Assay: Assay Name","Assay: Primary Use Case","Assay: Assay Aim","Assay: Disease Target","Assay: Target Pathogen","Assay: Stage of Development","Assay: Regulatory Approval","Assay: Other Regulatory Approval","Assay: Planned Market Entry","Assay: Type of Technology","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: Lab vs. POC","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Serovar subtype","Assay: Other serovar subtype","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Assay: Confidentiality Level","Data to be published on FIND's web page","Study Type","FIND Evaluation","Assay Target","Assay: Health Level","Total number of samples","Number of positive samples","Number of negative samples","Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Created By: Full Name","Last Modified By: Full Name","Instrument: Instrument ID","Instrument: Instrument Name"
"a2v69000004gKsw","a2r69000007lbcg","a266900000BsboR","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","SD BIOLINE Dengue Duo (Dengue NS1 AG + IgG;IgM)","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","Brazil ANVISA; CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological) + Antigen","Anti-DENV IgG; Anti-DENV IgM; DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","20.00","Yes","","No","Independent","No","Antibody (serological) + Antigen","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsw","a2r69000007lbcg","a266900000BsboS","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","SD BIOLINE Dengue Duo (Dengue NS1 AG + IgG;IgM)","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","Brazil ANVISA; CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological) + Antigen","Anti-DENV IgG; Anti-DENV IgM; DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","20.00","Yes","","No","Company-Sponsored","No","Antibody (serological) + Antigen","L0: Community","202","162","40","94.20","0.00","0.00","96.40","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsw","a2r69000007lbcg","a266900000BsboT","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","SD BIOLINE Dengue Duo (Dengue NS1 AG + IgG;IgM)","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","Brazil ANVISA; CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological) + Antigen","Anti-DENV IgG; Anti-DENV IgM; DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","20.00","Yes","","No","Company-Sponsored","No","Antigen","L0: Community","301","107","194","92.40","0.00","0.00","98.40","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsl","a2r69000007lbbJ","a266900000BsboV","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Panbio Dengue Early Rapid Test","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","15.00","Yes","","No","Independent","No","Antigen","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsl","a2r69000007lbbJ","a266900000BsboW","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Panbio Dengue Early Rapid Test","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","15.00","Yes","","No","Independent","No","Antigen","L0: Community","0","0","0","54.00","50.10","57.90","97.20","95.20","98.60","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsl","a2r69000007lbbJ","a266900000BsboX","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Panbio Dengue Early Rapid Test","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","15.00","Yes","","No","Independent","No","Antigen","L0: Community","0","0","0","63.00","56.00","70.00","99.00","93.00","100.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsl","a2r69000007lbbJ","a266900000BsboY","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Panbio Dengue Early Rapid Test","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","15.00","Yes","","No","Company-Sponsored","No","Antigen","L0: Community","297","105","192","91.90","0.00","0.00","98.30","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsm","a2r69000007lbbK","a266900000Bsboj","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Bioline Salmonella typhi IgG/IgM Fast","Triage/Screening","ID","Enteric fever; Typhoid fever","Salmonella Typhi","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-Salmonella typhi IgG; Anti-Salmonella typhi IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","15.00","Yes","","No","Independent","No","Antibody (serological)","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsm","a2r69000007lbbK","a266900000Bsbok","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Bioline Salmonella typhi IgG/IgM Fast","Triage/Screening","ID","Enteric fever; Typhoid fever","Salmonella Typhi","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-Salmonella typhi IgG; Anti-Salmonella typhi IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","15.00","Yes","","No","Independent","No","Antibody (serological)","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsm","a2r69000007lbbK","a266900000Bsbol","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Bioline Salmonella typhi IgG/IgM Fast","Triage/Screening","ID","Enteric fever; Typhoid fever","Salmonella Typhi","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-Salmonella typhi IgG; Anti-Salmonella typhi IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","15.00","Yes","","No","Independent","Yes","Antibody (serological)","L0: Community","531","264","267","22.00","13.40","34.10","100.00","94.20","100.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsm","a2r69000007lbbK","a266900000Bsbom","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Bioline Salmonella typhi IgG/IgM Fast","Triage/Screening","ID","Enteric fever; Typhoid fever","Salmonella Typhi","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-Salmonella typhi IgG; Anti-Salmonella typhi IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","15.00","Yes","","No","Independent","Yes","Antibody (serological)","L0: Community","531","264","267","21.60","18.80","41.40","100.00","94.20","100.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsm","a2r69000007lbbK","a266900000Bsbon","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Bioline Salmonella typhi IgG/IgM Fast","Triage/Screening","ID","Enteric fever; Typhoid fever","Salmonella Typhi","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-Salmonella typhi IgG; Anti-Salmonella typhi IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","15.00","Yes","","No","Company-Sponsored","No","Antibody (serological)","L0: Community","0","0","0","100.00","0.00","0.00","85.70","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsr","a2r69000007lbax","a266900000Bsbos","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Bioline Dengue IgG;IgM","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-DENV IgG; Anti-DENV IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","15.00","Yes","","No","Company-Sponsored","No","Antibody (serological)","L0: Community","0","0","0","94.60","0.00","0.00","96.50","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKmj","a2r69000007lbm4","a266900000BsbpE","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Alinity m MPXV AMP Kit (EUA)","Diagnostic/confirmatory test","ID","Mpox","Mpox virus","Regulatory Achieved","US FDA EUA","","Already on the market (commercialized)","Molecular","DNA","MPX B7R gene; MPX J2L gene","qPCR","","Fluorescence","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Fully automated (including sample preparation)","Lab-based","Intended for professional use only","Lesion swab","Lesion swabs","MPX Clade Ia; MPX Clade IIa; MPX Clade IIb","","","Yes","","No","Company-Sponsored","No","DNA","L4: Reference/National Lab","71","36","35","100.00","90.40","100.00","100.00","90.10","100.00","Victoria Aroworade","Victoria Aroworade","a2s690000019Jxp","Abbott ALINITY m Molecular System"
"a2v69000004gKtZ","a2r69000007lbcH","a266900000BsbrB","06.07.2023","United States","Somerset","Region of the Americas","accessbio.net","Access Bio, Inc.","careGENE DENGUE VIRUS RT-PCR KIT","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Molecular","RNA","Unknown","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","Unspecified","","","Yes","","No","Company-Sponsored","No","RNA","L2: District Hospital Lab","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKtg","a2r69000007lbcK","a266900000BsbrL","06.07.2023","China","Beijing","Western Pacific Region","accubiotech.com","AccuBioTech Co., ltd.","Accu-Tell Typhoid rapid test cassette (S;P)","Triage/Screening","ID","Enteric fever; Typhoid fever","Salmonella Typhi","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-Salmonella typhi IgG; Anti-Salmonella typhi IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Plasma; Serum","","Not applicable","","15.00","Yes","","No","Company-Sponsored","No","Antibody (serological)","L0: Community","231","19","212","89.50","66.90","98.70","97.20","93.90","98.90","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKtg","a2r69000007lbcK","a266900000BsbrM","06.07.2023","China","Beijing","Western Pacific Region","accubiotech.com","AccuBioTech Co., ltd.","Accu-Tell Typhoid rapid test cassette (S;P)","Triage/Screening","ID","Enteric fever; Typhoid fever","Salmonella Typhi","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-Salmonella typhi IgG; Anti-Salmonella typhi IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Plasma; Serum","","Not applicable","","15.00","Yes","","No","Company-Sponsored","No","Antibody (serological)","L0: Community","268","33","235","87.90","71.80","96.60","97.40","94.50","99.10","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKti","a2r69000007lbcM","a266900000BsbrO","06.07.2023","China","Beijing","Western Pacific Region","accubiotech.com","AccuBioTech Co., ltd.","ACCU-TELL Dengue IgG;IgM Cassette","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-DENV IgG; Anti-DENV IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","10.00","Yes","","No","Company-Sponsored","No","Antibody (serological)","L0: Community","390","52","338","95.70","88.00","99.00","99.90","99.00","100.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKti","a2r69000007lbcM","a266900000BsbrP","06.07.2023","China","Beijing","Western Pacific Region","accubiotech.com","AccuBioTech Co., ltd.","ACCU-TELL Dengue IgG;IgM Cassette","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-DENV IgG; Anti-DENV IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","10.00","Yes","","No","Company-Sponsored","No","Antigen","L0: Community","178","72","106","95.80","88.00","99.00","96.20","91.00","99.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKth","a2r69000007lbcL","a266900000BsbrQ","06.07.2023","China","Beijing","Western Pacific Region","accubiotech.com","AccuBioTech Co., ltd.","Accu-Tell Typhoid rapid test cassette (S;P;WB)","Triage/Screening","ID","Enteric fever; Typhoid fever","Salmonella Typhi","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-Salmonella typhi IgG; Anti-Salmonella typhi IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Whole Blood","","Not applicable","","15.00","Yes","","No","Company-Sponsored","No","Antibody (serological)","L0: Community","231","19","212","89.50","66.90","98.70","97.20","93.90","98.90","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKth","a2r69000007lbcL","a266900000BsbrR","06.07.2023","China","Beijing","Western Pacific Region","accubiotech.com","AccuBioTech Co., ltd.","Accu-Tell Typhoid rapid test cassette (S;P;WB)","Triage/Screening","ID","Enteric fever; Typhoid fever","Salmonella Typhi","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-Salmonella typhi IgG; Anti-Salmonella typhi IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Whole Blood","","Not applicable","","15.00","Yes","","No","Company-Sponsored","No","Antibody (serological)","L0: Community","268","33","235","87.90","71.80","96.60","97.40","94.50","99.10","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKtk","a2r69000007lbbw","a266900000BsbrS","06.07.2023","China","Beijing","Western Pacific Region","accubiotech.com","AccuBioTech Co., ltd.","ACCU-TELL Dengue NS1 Cassette","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","10.00","Yes","","No","Company-Sponsored","No","Antigen","L0: Community","178","72","106","95.80","88.00","99.00","96.20","91.00","99.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKtj","a2r69000007lbcN","a266900000BsbrT","06.07.2023","China","Beijing","Western Pacific Region","accubiotech.com","AccuBioTech Co., ltd.","Accu-Tell Dengue IgG;IgM;NS1 Combo Rapid Test Cassette (Whole blood;Serum;Plasm","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological) + Antigen","Anti-DENV IgG; Anti-DENV IgM; DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","10.00","Yes","","No","Company-Sponsored","No","Antibody (serological)","L0: Community","0","0","0","95.70","0.00","0.00","99.90","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
