"Test Directory Package ID","Assay: Company/Institution Name: Organisation Name","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Region","Assay: Company/Institution Name: City","Assay: Company/Institution Name: Country of Manufacturer","Assay: Created Date","Assay: Assay ID","Assay: Assay Name","Instrument: Instrument Name","Assay: Product Website","Assay: Stage of Development","Assay: Planned Market Entry","Assay: Regulatory Approval","Assay: Primary Use Case","Assay: Syndromes","Assay: Disease Target","Assay: Assay Aim","Assay: ID type","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Other Target Analyte","Assay: Target Pathogen","Assay: Other target pathogen","Assay: Target Organism Classes","Assay: Type of Technology","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Other Readout Technology","Assay: Qualitative or Quantitative","Assay: Resistance Marker","Assay: Other resistance marker","Assay: Antimicrobial Resistance Class","Assay: Other Antimicrobial Resistance Class","Assay: Drug Resistance Target","Assay: Other drug resistance target","Assay: AST Output","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: End user profile (training level)","Assay: Lab vs. POC","Assay: Health Level","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Assay: Confidentiality Level","Assay: Comments","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: WHO Region"
"a2vVj0000017EHD","Cepheid","cepheid.com","Americas","Sunnyvale","United States","22.05.2024","a2rVj0000006cAt","Xpert GBS LB XC","","https://www.cepheid.com/en-US/tests/blood-virology-womens-health-sexual-health/xpert-gbs-lb-xc.html","Regulatory Achieved","Already on the market (commercialized)","US FDA 510k","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Other","coding region for a glycosyl transferase family protein; coding region for a LysR family transcriptional regulator of S. agalactiae DNA","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","qPCR","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Vaginal-rectal swab","","43.00","Yes","","","United States","Region of the Americas"
"a2vVj0000017EGz","Acro Biotech Inc.","acrobiotech.com","Americas","Rancho Cucamonga","United States","22.05.2024","a2rVj0000006cAf","Strep B Rapid Test Dipstick","","https://www.acrobiotech.com/women-s-health","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","Antigen","Unknown","","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Vaginal swab","","","Yes","","","United States","Region of the Americas"
"a2vVj0000017EHZ","NeuMoDx","neumodx.com","Americas","Hilden","United States","22.05.2024","a2rVj0000006cBF","NeuMoDx GBS Test Strip","","https://www.neumodx.com/product/gbs-test-strips/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD; US FDA 510k","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Other","pcsB gene","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","qPCR","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Automated (excluding sample preparation)","Trained staff in health care facilities","Lab-based","","Intended for professional use only","Vaginal-rectal swab","Vaginal-rectal swab","60.00","Yes","","","United States","Region of the Americas"
"a2vVj0000017EHY","nal von minden GmbH","nal-vonminden.com","Europe","Moers","Germany","22.05.2024","a2rVj0000006cBE","NADAL Strep B test cassette","","https://nal-vonminden.com/eng/nadal-strep-b-test-cassettes.html","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","Antigen","Unknown","","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Rectal swab; Vaginal swab","","10.00","Yes","","","Germany","European Region"
"a2vVj0000017EHX","Molbio Diagnostics Pvt. Ltd.","molbiodiagnostics.com","South-East Asia","Verna Industrial Estate, Verna,","India","22.05.2024","a2rVj0000006cBD","Truenat GBS","","https://www.molbiodiagnostics.com/product_details.php?id=28","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD; India CDSCO","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Other","cAMP factor gene","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","qPCR","","Fluorescence","","Semi-quantitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Cerebrospinal fluid (CSF); Plasma; Serum; Vaginal-rectal swab; Venous blood","","35.00","Yes","","","India","South-East Asian Region"
"a2vVj0000017EHS","Nanjing Liming Bio-products Co., Ltd.","limingbio.com","Western Pacific","Nanjing","China","22.05.2024","a2rVj0000006cB8","Strep B Antigen Test","","https://www.limingbio.com/strep-b-antigen-test-product/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","Antigen","Unknown","","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Cervical swab; Vaginal swab","","20.00","Yes","","","China","Western Pacific Region"
"a2vVj0000017EHR","LEX Diagnostics Ltd","lexdiagnostics.com","Europe","Melbourn","","22.05.2024","a2rVj0000006cB7","Strep B","","https://lexdiagnostics.com/","Early Stage Development (partial prototype)","Unspecified Market Entry","None","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Unknown","","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","qPCR","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Fully automated (including sample preparation)","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Unknown","","","Yes","","","United Kingdom","European Region"
"a2vVj0000017EHQ","K.K. MIRAI GENOMICS","miraigenomics.com","South-East Asia","Yokohama","Japan","22.05.2024","a2rVj0000006cB6","GBS","","https://miraigenomics.com/","Late Stage Development (fully functional prototype)","2023","None","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Unknown","","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","qPCR","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Fully automated (including sample preparation)","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Unknown","","","Yes","","","Japan","Western Pacific Region"
"a2vVj0000017EHP","Hologic","hologic.de","Americas","Marlborough","United States","22.05.2024","a2rVj0000006cB5","Panther Fusion GBS Assay","","https://www.hologic.com/hologic-products/molecular-diagnostics/panther-fusion-gbs-assay","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD; US FDA 510k","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Other","sip gene; cfb gene","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","qPCR","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","Trained staff in health care facilities","Lab-based","","Intended for professional use only","Vaginal-rectal swab","","90.00","Yes","","","United States","Region of the Americas"
"a2vVj0000017EHW","Meridian Bioscience, Inc.","meridianbioscience.com","Americas","Cincinnati","United States","22.05.2024","a2rVj0000006cBC","Alethia Group B Streptococcus","","https://www.meridianbioscience.com/diagnostics/disease-areas/pediatric-neonatal/group-b-strep/alethia-group-b-streptococcus/?country=US","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD; US FDA 510k","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Unknown","","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","Isothermal LAMP","","Turbidity","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Manual","Laboratory Technician","near Point of Care","","Intended for professional use only","Vaginal-rectal swab","","60.00","Yes","","","United States","Region of the Americas"
"a2vVj0000017EHV","Meridian Bioscience, Inc.","meridianbioscience.com","Americas","Cincinnati","United States","22.05.2024","a2rVj0000006cBB","Revogene GBS LB","","https://www.meridianbioscience.com/diagnostics/disease-areas/pediatric-neonatal/group-b-strep/revogene-gbs-lb/?country=US","Regulatory Achieved","Already on the market (commercialized)","Brazil ANVISA; CE-IVDD; US FDA 510k","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Other","cfb gene","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","qPCR","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Vaginal-rectal swab","","70.00","Yes","","","United States","Region of the Americas"
"a2vVj0000017EHU","Luminex Corporation","luminexcorp.com","Americas","Madison","United States","22.05.2024","a2rVj0000006cBA","ARIES GBS Assay (RUO)","","https://www.luminexcorp.com/eu/aries-gbs-assay/#ruo","Research Use Only (RUO)","Already on the market (commercialized)","None","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Other","genomic region downstream from the S. agalactiae cfb gene","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","qPCR","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","Trained staff in health care facilities","Lab-based","","Intended for professional use only","Vaginal-rectal swab","","120.00","Yes","","","United States","Region of the Americas"
"a2vVj0000017EHT","Luminex Corporation","luminexcorp.com","Americas","Madison","United States","22.05.2024","a2rVj0000006cB9","ARIES GBS Assay (IVD)","","https://www.luminexcorp.com/eu/aries-gbs-assay/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD; Health Canada; US FDA 510k","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Other","genomic region downstream from the S. agalactiae cfb gene","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","qPCR","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","Trained staff in health care facilities","Lab-based","","Intended for professional use only","Vaginal-rectal swab","","120.00","Yes","","","United States","Region of the Americas"
"a2vVj0000017EH9","Biosynex SA","biosynex.com","Europe","ILLKIRCH-GRAFFENSTADEN","Switzerland","22.05.2024","a2rVj0000006cAp","Biosynex AMPLIFLASH GBS","","https://www.biosynex.com/products/biologiste-medecin/molecular-biology/ampliflash-home/ampliflash/?lang=en","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Unknown","","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","Isothermal Other","","Unspecified","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Automated (excluding sample preparation)","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Rectal swab; Vaginal swab; Vaginal-rectal swab","","25.00","Yes","","","France","European Region"
"a2vVj0000017EH8","Biocan Diagnostics Inc","rapidtest.ca","Americas","Coquitlam","Canada","22.05.2024","a2rVj0000006cAo","Strep B Antigen Test","","https://www.rapidtest.ca/infectious-sexually-transmitted","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","Antigen","Unknown","","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Oropharyngeal swab","","","Yes","","","Canada","Region of the Americas"
"a2vVj0000017EH3","AusDiagnostics","ausdiagnostics.com","Western Pacific","Mascot","Australia","22.05.2024","a2rVj0000006cAj","STI 16-well (REF 27112)","","https://www.ausdiagnostics.com/sexual-health-and-dermatology/","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","Candidiasis","ID","","DNA","Unknown","","Candida albicans; Candida glabrata; Candida krusei; Chlamydia trachomatis; Mycoplasma genitalium; Neisseria gonorrhoeae; Other; Streptococcus agalactiae (Group B); Trichomonas vaginalis","Mycoplasma hominis; Ureaplasma parvum; Ureaplasma urealyticum; Haemophilus ducreyi; Treponema pallidum; Human herpesvirus 1 (HSV-1); Human herpesvirus 2 (HSV-2)","Bacteria (Gram+); Bacteria (Gram-); Parasite; Virus; Other","Molecular","qPCR","","Unspecified","","Quantitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","NAT reagent kit (open source)","","A proprietary/new instrument is required","Fully automated (including sample preparation)","Laboratory Technician","Lab-based","","Intended for professional use only","Unknown","","","Yes","","","Australia","Western Pacific Region"
"a2vVj0000017EH2","Assure Tech. (Hangzhou) Co., ltd.","diareagent.com","Western Pacific","Hangzhou","China","22.05.2024","a2rVj0000006cAi","Strep B","","http://www.diareagent.com/products-details-en.php?id=2","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","Antigen","Unknown","","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Unknown","","","Yes","","","China","Western Pacific Region"
"a2vVj0000017EH1","Amunet S.A. de C.V","amunet.com.mx","Americas","Puebla","Mexico","22.05.2024","a2rVj0000006cAh","Prueba rápida de Estreptococo B","","https://www.amunet.com.mx/tienda/prueba-rapida-de-estreptococo-b/","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","Antigen","Unknown","","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Rectal swab; Vaginal swab","","10.00","Yes","","","Mexico","Region of the Americas"
