"Test Directory Package ID","Instrument: Instrument ID","Instrument: Instrument llustration","Instrument: Instrument Name","Instrument: Product Website","Instrument: Confidentiality Level","Instrument: Type of instrument","Performance Detail Submission ID","Created Date","Instrument: Company/Institution Name: Organisation Name","Instrument: Company/Institution Name: Country","Instrument: Company/Institution Name: City","Instrument: Company/Institution Name: WHO Region","Instrument: Company/Institution Name: Website","Instrument: Stage of Development","Instrument: Regulatory Approval","Instrument: Planned Market Entry","Instrument: Type of Technology","Instrument: Technology principle","Instrument: Test Format","Instrument: Readout Technology","Instrument: Other Readout Technology","Instrument: Multiplexing Range","Instrument: Multiplexing capacity","Instrument: Multiplexing description","Instrument: Time to results (mins)","Instrument: Instrument footprint","Instrument: Weight (in Kg)","Instrument: Size (LxWxH) in cm","Instrument: Level of automation","Instrument: Assay menu (Commercial)","Instrument: Assay in development","Instrument: Lab vs. POC","Instrument: Health Level","Instrument: End user profile (training level)","Instrument: Self-testing/Self-Collection","Instrument: Instrument power supply","Instrument: Other Power Supply","Instrument: Connectivity Solution","Instrument: Connectivity options","Instrument: Maximum Operating Temperature","Instrument: Minimum Operating Temperature","Instrument: Additional Operating Conditions","Instrument: Price per instrument in USD (Ex Works)","Instrument: COGS(instrument)","Instrument: Price Source","Instrument: Companion solutions","Instrument: Created By: Full Name","Instrument: Last Modified By: Full Name"
"a2v69000004gKnH","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000Bscf2","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnH","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000Bscf3","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnH","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000Bscf4","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnK","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000Bscf5","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnK","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000Bscf6","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnK","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000Bscf7","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnK","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000Bscf8","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnK","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000Bscf9","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnJ","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000BscfA","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnL","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000BscfB","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKnL","a2s690000019K19","","LumiraDx Platform","https://www.lumiradx.com/uk-en/instrument","","Multimodal platform","a266900000BscfC","06.07.2023","LumiraDx Limited","United Kingdom","London","European Region","lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions","Regulatory Achieved","CE-IVDD; US FDA EUA","Already on the market (commercialized)","Molecular; Immunoassay","Unspecified","Cartridge-based processing","Fluorescence","","Low","4","","","Small","1.10","21x9.7x7.3","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Battery-operated","Lithium ion polymer 7.4 V 5000 mAh Approx. 20 tests per charge cycle","Yes","Bluetooth","30.00","15.00","RH: 10-90%
3000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKfm","a2s690000019K1Q","","minoo","https://www.midgemedical.com/products-rna_test.html","","NAT platform","a266900000Bscho","06.07.2023","midge medical MPS GmbH","Germany","Berlin","European Region","midgemedical.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","Isothermal RPA","NAT reagent kit (proprietary platform)","Fluorescence","","Low","3","","18.00","Handheld","0.60","9.2x6.7x3.7","Automated (excluding sample preparation)","","COVID-19","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Battery-operated","","Yes","Bluetooth","28.00","21.00","RH: 20-70%
2000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKfo","a2s690000019K1Q","","minoo","https://www.midgemedical.com/products-rna_test.html","","NAT platform","a266900000Bschp","06.07.2023","midge medical MPS GmbH","Germany","Berlin","European Region","midgemedical.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","Isothermal RPA","NAT reagent kit (proprietary platform)","Fluorescence","","Low","3","","18.00","Handheld","0.60","9.2x6.7x3.7","Automated (excluding sample preparation)","","COVID-19","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Battery-operated","","Yes","Bluetooth","28.00","21.00","RH: 20-70%
2000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKfn","a2s690000019K1Q","","minoo","https://www.midgemedical.com/products-rna_test.html","","NAT platform","a266900000Bschq","06.07.2023","midge medical MPS GmbH","Germany","Berlin","European Region","midgemedical.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","Isothermal RPA","NAT reagent kit (proprietary platform)","Fluorescence","","Low","3","","18.00","Handheld","0.60","9.2x6.7x3.7","Automated (excluding sample preparation)","","COVID-19","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Battery-operated","","Yes","Bluetooth","28.00","21.00","RH: 20-70%
2000m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKeW","a2s690000019JyR","","be.well Analyzer","https://www.alveotechnologies.com/products/be-well-analyzer","","NAT platform","a266900000BsbuX","06.07.2023","Alveo Technologies","United States","Alameda","Region of the Americas","alveotechnologies.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","Isothermal LAMP","Cartridge-based processing","Electric signal; Other","Electrical Impedance Sensor","Medium","8","Up to 6 pathogens (website)","60.00","Handheld","0.18","12.9 x 6.6 x 2.0","Automated (excluding sample preparation)","COVID-19","Flu A/B, RSV","True Point of Care","Self-Testing","Self-administered","","Battery-operated","90~264VAC, 47~63Hz, USB Charging Cable","Yes","Bluetooth","30.00","15.00","Uncontrolled relative humidity, non-condensing
2000 m","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKj2","a2s690000019K2D","","Prompt Dx Rapid PCR Platform","https://prompt-dx.com/","","NAT platform","a266900000Bscqp","06.07.2023","Prompt Diagnostics llc","United States","Baltimore","Region of the Americas","prompt-dx.com","Early Stage Development (partial prototype)","None","Unknown","Molecular","qPCR","Cartridge-based processing","Fluorescence","","Very high","18","2-channel x3 reaction fluo detection","15.00","Handheld","","12.7x13.4xx8.4","Fully automated (including sample preparation)","","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Portable charger compatible","portable mobile phone charger (5 V, ~2 A, 10,000 mAh)","Yes","Bluetooth","","","","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKiD","a2s690000019K1t","","NudgeBox","https://www.covidnudge.co.uk/en/COVID-Bubble-test","","NAT platform","a266900000BscIY","06.07.2023","DNANudge","United Kingdom","London","European Region","dnanudge.com","Regulatory Achieved","Australia TGA; CE-IVDD","Already on the market (commercialized)","Molecular","qPCR","Cartridge-based processing","Fluorescence","","Very high","72","The amplification unit comprises dried primers and probes uniquely spotted into 72 reaction wells providing multiplex analysis","60.00","Small","5.00","28x15.5x13.5","Automated (excluding sample preparation)","COVID-19, COVID-19/FluA/FluB/RSV","TB","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Mains power","","Yes","Bluetooth","","","","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000003QzOf","a2s69000002r1mS","","1POT Professional","http://www.1drop.co.kr/eng/onedrop/product/1pottm.php","","NAT platform","a266900000CC5f4","16.11.2023","1drop Inc.","Korea, Republic of","Seongnam-si","Western Pacific Region","1drop.co.kr","Regulatory Achieved","CE-IVDD; Korea MFDS","Already on the market (commercialized)","Molecular","Isothermal LAMP","One-pot","Colorimetric","","Single pathogen","2","1 probe/tube; 2 tubes/cartridge","25.00","Handheld","0.23","8.5 x 5.65 x 7.03","Automated (excluding sample preparation)","COVID-19","FluA/B, STI, Hepatitis, Malaria","True Point of Care","Self-Testing","Self-administered","Intended for self-testing (version available)","Battery-operated","Lithium-ion battery: 3.63 Vdc, 6700 mAh USB-C (Power supply): 5 Vdc","Yes","Bluetooth","35.00","15.00","10-90%RH","","","","Mobile application","Romain Wyss","Romain Wyss"
"a2vVj000000slEr","a2sVj000002meIH","","Scout Hub","https://uhohlabs.com/test/p/uol-covid-19-instrument","","NAT platform","","18.04.2024","Scout","United States","Santa Clara","Region of the Americas","scouthealth.com","Regulatory Achieved","US FDA EUA","Already on the market (commercialized)","Molecular","Isothermal LAMP","One-pot","Fluorescence","","Single pathogen","2","Detected by spectrally duplexed fluorescence","12.00","Handheld","0.11","6x10x6.5","Fully automated (including sample preparation)","COVID-19","CT/NG","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Portable charger compatible","USB-C connection for power, either with the power adapter or via an external battery.","Yes","Bluetooth","30.00","2.00","RH: <90%","250.00","","eShop","Mobile application","Romain Wyss","Romain Wyss"
"a2vVj0000003PGP","a2sVj000000UI9C","","Veros","https://sense-bio.com/veros-covid-19/","","NAT instrument-free","","14.12.2023","Sense Biodetection (acquired by Sherlock Bio)","United Kingdom","Oxford","European Region","sense-bio.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","Isothermal Other; Nucleic Acid Lateral Flow Assay (NA-LFA)","Cartridge-based processing","Colorimetric","","Single pathogen","2","1 test line + 1 control line","15.00","Handheld","","","Fully automated (including sample preparation)","COVID-19","","True Point of Care","L0: Community","Trained staff in health care facilities","Intended for professional use only","Battery-operated","A single 1.5V DC battery","No","","30.00","15.00","","","","","","Romain Wyss","Romain Wyss"
"a2v69000004gKMz","a2s690000019K25","","Pluslife Mini Dock","https://www.pluslife.com/ProductBrochure.html","","NAT platform","","02.06.2023","Guangzhou Pluslife Biotech Co., ltd.","China","Guangzhou","Western Pacific Region","pluslife.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","Isothermal Other","Cartridge-based processing","Fluorescence","","Medium","7","The Pluslife test card has 7 independent chambers, one of which contains internal control microspheres, and the remaining 6 chambers are used to place target microspheres. Therefore, maximum number of targets (including controls) is roughly 4(Some detection require 2 target genes).","35.00","Handheld","0.21","10.1x9.1x6.5","Automated (excluding sample preparation)","COVID-19/FluA/B,Mpox,TB, RSV/FluA/B,StrepA, MP, CT/NG/UU, HPV, TV, GBS","HCV,MRSA,Dengue,Malaria, SP","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Portable charger compatible","USB-A charger","Yes","Bluetooth","30.00","15.00","RH: <80%","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKNE","a2s690000019K25","","Pluslife Mini Dock","https://www.pluslife.com/ProductBrochure.html","","NAT platform","","02.06.2023","Guangzhou Pluslife Biotech Co., ltd.","China","Guangzhou","Western Pacific Region","pluslife.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","Isothermal Other","Cartridge-based processing","Fluorescence","","Medium","7","The Pluslife test card has 7 independent chambers, one of which contains internal control microspheres, and the remaining 6 chambers are used to place target microspheres. Therefore, maximum number of targets (including controls) is roughly 4(Some detection require 2 target genes).","35.00","Handheld","0.21","10.1x9.1x6.5","Automated (excluding sample preparation)","COVID-19/FluA/B,Mpox,TB, RSV/FluA/B,StrepA, MP, CT/NG/UU, HPV, TV, GBS","HCV,MRSA,Dengue,Malaria, SP","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Portable charger compatible","USB-A charger","Yes","Bluetooth","30.00","15.00","RH: <80%","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2v69000004gKN0","a2s690000019K25","","Pluslife Mini Dock","https://www.pluslife.com/ProductBrochure.html","","NAT platform","","02.06.2023","Guangzhou Pluslife Biotech Co., ltd.","China","Guangzhou","Western Pacific Region","pluslife.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","Isothermal Other","Cartridge-based processing","Fluorescence","","Medium","7","The Pluslife test card has 7 independent chambers, one of which contains internal control microspheres, and the remaining 6 chambers are used to place target microspheres. Therefore, maximum number of targets (including controls) is roughly 4(Some detection require 2 target genes).","35.00","Handheld","0.21","10.1x9.1x6.5","Automated (excluding sample preparation)","COVID-19/FluA/B,Mpox,TB, RSV/FluA/B,StrepA, MP, CT/NG/UU, HPV, TV, GBS","HCV,MRSA,Dengue,Malaria, SP","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Portable charger compatible","USB-A charger","Yes","Bluetooth","30.00","15.00","RH: <80%","","","","Mobile application","Victoria Aroworade","Romain Wyss"
