"Submission ID","Performance Detail Submission ID","Created Date","Date of Submission","Country of Manufacturer","Region","Website","Organisation Name","Submission Title","Disease Target","Stage of Development","Regulatory Approval","Type of Technology","Assay Target","Target Analyte(s)","Technology principle","Test Format","Instrument requirement","Level of automation","Lab vs. POC","Self-testing/Self-Collection","Validated Sample Types","Time to results excl sample prep (mins)","Time to results incl sample prep (mins)","Connectivity Solution","FIND Evaluation","Impact of SARS-COV-2 Alpha variant","Impact of SARS-COV-2 Beta variant","Impact of SARS-COV-2 Gamma variant","Impact of SARS-COV-2 Delta variant","Impact of SARS-COV-2 Delta+ variant","Impact of SARS-COV-2 Omicron variant","S gene dropout","SARS-CoV-2 variant(s)","Test to be listed on FIND's web page?","Data to be published on FIND's web page","Is this a variant detection test?","Revoked/Not Approved By","Study Type","Sensitivity (%)","Specificity (%)","Number of positive samples","Number of negative samples","Total number of samples"
"a0B6900001Lm4ce","a266900000BEWLI","11.04.2022","11.04.2022","United States","Americas","abbott.com","Abbott","AdviseDx SARS-CoV-2 IgM","SARS-CoV-2","Regulatory Achieved","US FDA EUA","Immunoassay","Antibody (serological)","IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma","15.00","20.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","95.00","99.56","40","2965","3005"
"a0B6900001Lm4cf","a266900000BEWLJ","11.04.2022","11.04.2022","United States","Americas","abbott.com","Abbott","AdviseDx SARS-CoV-2 IgG II","SARS-CoV-2","Regulatory Achieved","US FDA EUA; Health Canada","Immunoassay","Antibody (serological)","IgG","ELISA/EIA","Chemiluminescent Immunoassay (CLIA)","A proprietary/new instrument is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Serum; Plasma","","","Yes","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","97.56","99.55","41","2008","2049"
"a0B6900001LlLdB","a266900000AvRaE","13.12.2021","13.12.2021","United States","Americas","abbott.com","Abbott","SARS-CoV-2 IgG (for Architect & Alinity i systems)","SARS-CoV-2","Regulatory Achieved","US FDA EUA; Health Canada; WHO EUL Under Assessment","Immunoassay","Antibody (serological)","IgG","ELISA/EIA","Chemiluminescent Immunoassay (CLIA)","A proprietary/new instrument is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Serum; Plasma","","","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","100.00","99.63","88","1070","1158"
"a0B6900001LlHyj","a266900000Auhjh","03.12.2021","","United States","Americas","abbott.com","Abbott","BinaxNOW COVID-19 Antigen Self Test","SARS-CoV-2","Regulatory Achieved","US FDA EUA; Health Canada","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","20.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","91.70","100.00","0","0","0"
"a0B6900001LlHyk","a266900000Auhji","03.12.2021","","United States","Americas","abbott.com","Abbott","BinaxNOW COVID-19 Ag Card Home Test","SARS-CoV-2","Regulatory Achieved","US FDA EUA","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","20.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","84.60","98.50","117","343","460"
"a0B6900001LlHym","a266900000Auhjk","03.12.2021","","United States","Americas","abbott.com","Abbott","BinaxNOW COVID-19 Ag 2 Card","SARS-CoV-2","Regulatory Achieved","US FDA EUA","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","20.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","84.60","98.50","117","343","460"
"a0B6900001LlHyn","a266900000Auhjl","03.12.2021","","United States","Americas","abbott.com","Abbott","Alinity m Resp-4-Plex","SARS-CoV-2","Regulatory Achieved","US FDA EUA; Australia TGA; Health Canada; MHRA UK","Molecular","RNA","N gene; RdRp gene; Influenza A; Influenza B; Other","qRT-PCR","NAT reagent kit – proprietary platform","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Mid-turbinate swab; Bronchoalveolar lavage","","","Yes","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","100.00","96.50","","",""
"a0B6900001Lm70t","a266900000BEmP3","18.04.2022","18.04.2022","Korea, Republic of","Western Pacific","abbott.com/","Abbott Diagnostics Korea Inc.","ID NOW COVID-19 v2.0","SARS-CoV-2","Regulatory Achieved","US FDA EUA; Health Canada","Molecular","RNA","RdRp gene","RT-isothermal NAT (other)","Cartridge-based processing","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab","13.00","18.00","Yes","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","0.00","0.00","0","0","0"
"a0B6900001PDePV","a266900000BAd8D","02.05.2022","02.05.2022","Korea, Republic of","Western Pacific","abbott.com/","Abbott Diagnostics Korea Inc.","SARS-CoV-2 IgG II Quant Reagent Kit","SARS-CoV-2","Regulatory Achieved","Korea MFDS; Australia TGA; Health Canada","Immunoassay","Antibody (serological)","IgG","ELISA/EIA","Chemiluminescent Immunoassay (CLIA)","A proprietary/new instrument is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Plasma","","","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","99.37","","","",""
"a0B6900001J40Fl","a266900000A9wE0","06.04.2021","06.04.2021","Korea, Republic of","Western Pacific","abbott.com/","Abbott Diagnostics Korea Inc.","Panbio COVID-19 Ag Rapid Test Device (Nasopharyngeal)","SARS-CoV-2","Regulatory Achieved","WHO EUL; Japan MHLW; Australia TGA; Health Canada; Singapore HSA; CE-IVD","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","20.00","No","Yes","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","91.40","99.80","140","445","585"
"a0B6900001J40G0","a266900000A9wE1","06.04.2021","06.04.2021","Korea, Republic of","Western Pacific","abbott.com/","Abbott Diagnostics Korea Inc.","Panbio COVID-19 Ag Rapid Test Device (Nasal)","SARS-CoV-2","Regulatory Achieved","WHO EUL; Japan MHLW; Australia TGA; Health Canada; Singapore HSA; CE-IVD","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","20.00","No","Yes","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","98.10","99.80","104","404","508"
"a0B6900001J3xTy","a266900000A9wC0","30.03.2021","30.03.2021","Korea, Republic of","Western Pacific","abbott.com/","Abbott Diagnostics Korea Inc.","BinaxNOW COVID-19 Ag Card","SARS-CoV-2","Regulatory Achieved","US FDA EUA; Health Canada","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","20.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","84.60","98.50","117","343","460"
"a0B6900001J3yr9","a266900000A9wCP","01.04.2021","01.04.2021","Korea, Republic of","Western Pacific","abbott.com/","Abbott Diagnostics Korea Inc.","ID NOW COVID-19","SARS-CoV-2","Regulatory Achieved","US FDA EUA; Japan MHLW; Australia TGA; Health Canada; MHRA UK","Molecular","RNA","RdRp gene","RT-isothermal NAT (other)","Cartridge-based processing","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab","13.00","18.00","Yes","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","100.00","100.00","30","30","60"
"a0B6900001Llcp5","a266900000B2lEj","01.02.2022","01.02.2022","Korea, Republic of","Western Pacific","abbott.com/","Abbott Diagnostics Korea Inc.","Panbio COVID-19 Antigen self-test","SARS-CoV-2","Regulatory Achieved","Australia TGA; Health Canada; Singapore HSA; WHO EUL Under Assessment","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","20.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","98.10","99.80","404","104","308"
"a0B6900001Lkleb","a2669000009z9cn","02.09.2021","02.09.2021","United States","Americas","abbottmolecular.com/home.html","Abbott Molecular","Abbott RealTime SARS-CoV-2 assay","SARS-CoV-2","Regulatory Achieved","WHO EUL; US FDA EUA; Australia TGA; Brazil ANVISA; Health Canada; CE-IVD; MHRA UK; South Africa SAHPRA","Molecular","RNA","N gene; RdRp gene","qRT-PCR","NAT reagent kit – proprietary platform","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","","Yes","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","100.00","100.00","60","31","91"
"a0B6900001Lklec","a2669000009z9co","02.09.2021","02.09.2021","United States","Americas","abbottmolecular.com/home.html","Abbott Molecular","Alinity m SARS-CoV-2 assay","SARS-CoV-2","Regulatory Achieved","US FDA EUA; Japan MHLW; Korea MFDS; Australia TGA; Health Canada; Singapore HSA; CE-IVD; MHRA UK","Molecular","RNA","N gene; RdRp gene","qRT-PCR","NAT reagent kit – proprietary platform","A proprietary/new instrument is required","Fully automated (including sample preparation)","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Bronchoalveolar lavage","","115.00","Yes","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","100.00","100.00","40","31","71"
"a0B6900001LlzR5","a266900000B5QIW","28.03.2022","","Germany","Europe","globalpointofcare.abbott/en/index.html","Abbott Rapid Diagnostics","Panbio Covid-19 Ag Rapid Test","SARS-CoV-2","Regulatory Achieved","CE-IVD","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Nasal swab","15.00","20.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","98.10","99.80","104","404","508"
"a0B6900001Lkleg","a2669000009z9cs","02.09.2021","02.09.2021","Germany","Europe","ab-ds.de/","AB Diagnostic Systems GmbH","abia SARS-CoV-2 IgG/IgM","SARS-CoV-2","Regulatory Achieved","CE-IVD","Immunoassay","Antibody (serological)","IgG; IgM","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","","","","",""
