"Performance Detail Submission: ID","Parent Submission: Created Date","Parent Submission: Date of Submission","Parent Submission: Company/Institution Name","Parent Submission: Submission Title","Parent Submission: Disease Target","Parent Submission: Stage of Development","Parent Submission: Country of Manufacturer","Parent Submission: Region","Parent Submission: Product Website","Parent Submission: Regulatory Approval","Sensitivity (%)","Specificity (%)","Parent Submission: Type of Technology","Parent Submission: Assay Target","Parent Submission: Target Analyte(s)","Parent Submission: Technology principle","Parent Submission: Test Format","Parent Submission: Instrument requirement","Parent Submission: Level of automation","Parent Submission: Lab vs. POC","Parent Submission: Self-testing/Self-Collection","Parent Submission: Validated Sample Types","Parent Submission: Time to results excl sample prep (mins)","Parent Submission: Connectivity Solution","FIND Evaluation","Parent Submission: Impact of SARS-COV-2 Beta variant","Parent Submission: Impact of SARS-COV-2 Alpha variant","Parent Submission: Impact of SARS-COV-2 Gamma variant","Parent Submission: Impact of SARS-COV-2 Delta+ variant","Parent Submission: Impact of SARS-COV-2 Delta variant","Parent Submission: Impact of SARS-COV-2 Omicron variant","Parent Submission: S gene dropout","Parent Submission: SARS-CoV-2 variant(s)","Parent Submission: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Parent Submission: Is this a variant detection test?","Parent Submission: Revoked/Not Approved By"
"a266900000A9w7L","05.03.2021","05.03.2021","AAZ-LMB","COV-QUANTO","SARS-CoV-2","Regulatory Achieved","France","Europe","https://www.covid19aaz.com/en/rapide-antigenic-test/","CE-IVD","93.00","98.40","Immunoassay","Antigen","N-protein","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","180.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9w6W","04.03.2021","04.03.2021","Abacus Diagnostica Oy","GenomEra SARS-CoV-2 Assay Kit","SARS-CoV-2","Regulatory Achieved","Finland","Europe","https://www.abacusdiagnostica.com","CE-IVD","90.70","100.00","Molecular","RNA","E gene; RdRp gene","qRT-PCR","Cartridge-based processing","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","70.00","Yes","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9w6X","04.03.2021","04.03.2021","Abacus Diagnostica Oy","GenomEra SARS-CoV-2, Flu A/B + RSV Assay Kit","SARS-CoV-2; Influenza A; Influenza B; Respiratory Syncytial Virus","Regulatory Achieved","Finland","Europe","https://www.abacusdiagnostica.com","CE-IVD","96.30","100.00","Molecular","RNA","RdRp gene","qRT-PCR","Cartridge-based processing","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","70.00","Yes","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9w8p","08.03.2021","08.03.2021","AB ANALITICA","REALQUALITY RQ-2019-nCoV","SARS-CoV-2","Regulatory Achieved","Italy","Europe","https://www.abanalitica.com","CE-IVD","98.00","99.00","Molecular","RNA","E gene; ORF1b","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","70.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9w8v","08.03.2021","08.03.2021","AB ANALITICA","REALQUALITY RQ-SARS-CoV-2","SARS-CoV-2","Regulatory Achieved","Italy","Europe","https://www.abanalitica.com","CE-IVD","98.10","100.00","Molecular","RNA","S gene; ORF1b","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","70.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9w8y","08.03.2021","08.03.2021","AB ANALITICA","REALQUALITY ABFlu-CoV-2","SARS-CoV-2; Influenza A; Influenza B","Regulatory Achieved","Italy","Europe","https://www.abanalitica.com","CE-IVD","99.00","99.60","Molecular","RNA","N gene; ORF1b","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","70.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000BBn8U","25.05.2022","25.05.2022","Abbott","SARS-CoV-2 IgG Kit","SARS-CoV-2","Regulatory Achieved","United States","Americas","","Australia TGA","","","Immunoassay","Antibody (serological)","IgG","ELISA/EIA","IA Reagent Kit","A proprietary/new instrument is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Serum; Plasma","0.00","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000BBn8V","25.05.2022","25.05.2022","Abbott","SARS-CoV-2 IgM Kit","SARS-CoV-2","Regulatory Achieved","United States","Americas","","Australia TGA","","","Immunoassay","Antibody (serological)","IgM","ELISA/EIA","IA Reagent Kit","A proprietary/new instrument is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Serum; Plasma","0.00","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000BEWLI","11.04.2022","11.04.2022","Abbott","AdviseDx SARS-CoV-2 IgM","SARS-CoV-2","Regulatory Achieved","United States","Americas","","US FDA EUA","95.00","99.56","Immunoassay","Antibody (serological)","IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000BEWLJ","11.04.2022","11.04.2022","Abbott","AdviseDx SARS-CoV-2 IgG II","SARS-CoV-2","Regulatory Achieved","United States","Americas","","US FDA EUA; Health Canada","97.56","99.55","Immunoassay","Antibody (serological)","IgG","ELISA/EIA","Chemiluminescent Immunoassay (CLIA)","A proprietary/new instrument is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Serum; Plasma","","Yes","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000AvRaE","13.12.2021","13.12.2021","Abbott","SARS-CoV-2 IgG (for Architect & Alinity i systems)","SARS-CoV-2","Regulatory Achieved","United States","Americas","abbott.com","US FDA EUA; Health Canada; WHO EUL Under Assessment","100.00","99.63","Immunoassay","Antibody (serological)","IgG","ELISA/EIA","Chemiluminescent Immunoassay (CLIA)","A proprietary/new instrument is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Serum; Plasma","","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000Auhjh","03.12.2021","","Abbott","BinaxNOW COVID-19 Antigen Self Test","SARS-CoV-2","Regulatory Achieved","United States","Americas","http://www.abbott.com/index.htm","US FDA EUA; Health Canada","91.70","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000Auhji","03.12.2021","","Abbott","BinaxNOW COVID-19 Ag Card Home Test","SARS-CoV-2","Regulatory Achieved","United States","Americas","http://www.abbott.com/index.htm","US FDA EUA","84.60","98.50","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000Auhjk","03.12.2021","","Abbott","BinaxNOW COVID-19 Ag 2 Card","SARS-CoV-2","Regulatory Achieved","United States","Americas","http://www.abbott.com/index.htm","US FDA EUA","84.60","98.50","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000Auhjl","03.12.2021","","Abbott","Alinity m Resp-4-Plex","SARS-CoV-2","Regulatory Achieved","United States","Americas","http://www.abbott.com/index.htm","US FDA EUA; Australia TGA; Health Canada; MHRA UK","100.00","96.50","Molecular","RNA","N gene; RdRp gene; Influenza A; Influenza B; Other","qRT-PCR","NAT reagent kit – proprietary platform","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Mid-turbinate swab; Bronchoalveolar lavage","","Yes","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000BEmP3","18.04.2022","18.04.2022","Abbott Diagnostics Korea Inc.","ID NOW COVID-19 v2.0","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","https://www.abbott.com/","US FDA EUA; Health Canada","0.00","0.00","Molecular","RNA","RdRp gene","RT-isothermal NAT (other)","Cartridge-based processing","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab","13.00","Yes","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000BAd8D","02.05.2022","02.05.2022","Abbott Diagnostics Korea Inc.","SARS-CoV-2 IgG II Quant Reagent Kit","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","https://www.corelaboratory.abbott/int/en/offerings/segments/infectious-disease/sars-cov-2-","Korea MFDS; Australia TGA; Health Canada","99.37","","Immunoassay","Antibody (serological)","IgG","ELISA/EIA","Chemiluminescent Immunoassay (CLIA)","A proprietary/new instrument is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Plasma","","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wE0","06.04.2021","06.04.2021","Abbott Diagnostics Korea Inc.","Panbio COVID-19 Ag Rapid Test Device (Nasopharyngeal)","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","https://www.abbott.com/","WHO EUL; Japan MHLW; Australia TGA; Health Canada; Singapore HSA; CE-IVD","91.40","99.80","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","Yes","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wE1","06.04.2021","06.04.2021","Abbott Diagnostics Korea Inc.","Panbio COVID-19 Ag Rapid Test Device (Nasal)","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","https://www.abbott.com/","WHO EUL; Japan MHLW; Australia TGA; Health Canada; Singapore HSA; CE-IVD","98.10","99.80","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","No","Yes","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wC0","30.03.2021","30.03.2021","Abbott Diagnostics Korea Inc.","BinaxNOW COVID-19 Ag Card","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","https://www.abbott.com/","US FDA EUA; Health Canada","84.60","98.50","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wCP","01.04.2021","01.04.2021","Abbott Diagnostics Korea Inc.","ID NOW COVID-19","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","https://www.abbott.com/","US FDA EUA; Japan MHLW; Australia TGA; Health Canada; MHRA UK","100.00","100.00","Molecular","RNA","RdRp gene","RT-isothermal NAT (other)","Cartridge-based processing","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab","13.00","Yes","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B2lEj","01.02.2022","01.02.2022","Abbott Diagnostics Korea Inc.","Panbio COVID-19 Antigen self-test","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","https://www.abbott.com/","Australia TGA; Health Canada; Singapore HSA; WHO EUL Under Assessment","98.10","99.80","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9cn","02.09.2021","02.09.2021","Abbott Molecular","Abbott RealTime SARS-CoV-2 assay","SARS-CoV-2","Regulatory Achieved","United States","Americas","https://www.abbottmolecular.com/home.html","WHO EUL; US FDA EUA; Australia TGA; Brazil ANVISA; Health Canada; CE-IVD; MHRA UK; South Africa SAHPRA","100.00","100.00","Molecular","RNA","N gene; RdRp gene","qRT-PCR","NAT reagent kit – proprietary platform","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","Yes","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9co","02.09.2021","02.09.2021","Abbott Molecular","Alinity m SARS-CoV-2 assay","SARS-CoV-2","Regulatory Achieved","United States","Americas","https://www.abbottmolecular.com/home.html","US FDA EUA; Japan MHLW; Korea MFDS; Australia TGA; Health Canada; Singapore HSA; CE-IVD; MHRA UK","100.00","100.00","Molecular","RNA","N gene; RdRp gene","qRT-PCR","NAT reagent kit – proprietary platform","A proprietary/new instrument is required","Fully automated (including sample preparation)","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Bronchoalveolar lavage","","Yes","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIW","28.03.2022","","Abbott Rapid Diagnostics","Panbio Covid-19 Ag Rapid Test","SARS-CoV-2","Regulatory Achieved","Germany","Europe","","CE-IVD","98.10","99.80","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Nasal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9cs","02.09.2021","02.09.2021","AB Diagnostic Systems GmbH","abia SARS-CoV-2 IgG/IgM","SARS-CoV-2","Regulatory Achieved","Germany","Europe","https://www.ab-ds.de/","CE-IVD","","","Immunoassay","Antibody (serological)","IgG; IgM","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIX","28.03.2022","","Abioteq GmbH","Cora Gentest-19","SARS-CoV-2","Regulatory Achieved","Germany","Europe","www.abioteq.de","CE-IVD","98.70","99.80","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000AxQHH","17.01.2022","17.01.2022","ABL Inc.","UltraGene Assay SARS-CoV-2 VOC Screening and Determination V1","SARS-CoV-2","Research Use Only (RUO)","United States","Americas","www.ablsa.com","None","0.00","0.00","Molecular","RNA","S gene","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab","","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Alpha; Beta; Delta; Gamma; Omicron","Yes, I would like the test to be made public on FIND’s test directory","Yes","Yes","None"
