"Performance Detail Submission: ID","Parent Submission: Created Date","Parent Submission: Date of Submission","Parent Submission: Company/Institution Name","Parent Submission: Submission Title","Parent Submission: Disease Target","Parent Submission: Stage of Development","Parent Submission: Country of Manufacturer","Parent Submission: Region","Parent Submission: Product Website","Parent Submission: Regulatory Approval","Sensitivity (%)","Specificity (%)","Parent Submission: Type of Technology","Parent Submission: Assay Target","Parent Submission: Target Analyte(s)","Parent Submission: Technology principle","Parent Submission: Test Format","Parent Submission: Instrument requirement","Parent Submission: Level of automation","Parent Submission: Lab vs. POC","Parent Submission: Self-testing/Self-Collection","Parent Submission: Validated Sample Types","Parent Submission: Time to results excl sample prep (mins)","Parent Submission: Connectivity Solution","FIND Evaluation","Parent Submission: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Parent Submission: Revoked/Not Approved By","Parent Submission: Primary Use Case","Parent Submission: Product reference / catalogue number","Parent Submission: Antibody Target","Parent Submission: Other Antibody Target","Type of data source","Data included in IFU?"
"a266900000BF4Vz","23/04/2022","","Wiener Lab","Chagatest ELISA recombinante v.4.0","Chagas Disease","Regulatory Achieved","Argentina","Americas","https://www.wiener-lab.com/EN/SitePages/Chagas.aspx","Brazil ANVISA; CE-IVD; Colombia INVIMA; Ecuador ARCSA; Chile ANAMED","100.00","99.66","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","130.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","12930","Other","T. Cruzi Recombinant antigens (SAPA, 1, 2, 13, 30 y 36)","Instructions for Use (IFU)","Yes"
"a266900000BF4W0","23/04/2022","","Cellabs Pty Ltd","Cellabs T. cruzi IgG CELISA II","Chagas Disease","Regulatory Achieved","Australia","Western Pacific","https://www.cellabs.com.au/trypanosomiasis","CE-IVD","","","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","115.00","No","","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","KT4","Other","T.cruzi specific recombinant antigen","",""
"a266900000BF4W2","23/04/2022","","GrupoBios","ELISA Chagas III","Chagas Disease","Regulatory Achieved","Chile","Americas","https://grupobios.cl/es/cotizacion-online/555-test-elisa-chagas-iii.html","CE-IVD; Colombia INVIMA; Bolivia AGEMED; Ecuador ARCSA; Chile ANAMED","100.00","100.00","Immunoassay","Antibody (serological)","Chagas Total Antibody","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","110.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Triage/Screening","na","Other","Membrane antigens obtained from total extracts of T. Cruzi","Instructions for Use (IFU)","Yes"
"a266900000BF4W3","23/04/2022","","IBL International GmbH","Chagas (Trypanosoma cruzi) IgG ELISA","Chagas Disease","Regulatory Achieved","Germany","Europe","https://www.ibl-international.com/en/chagas-trypanosoma-cruzi-igg-elisa","CE-IVD; Ecuador ARCSA","100.00","100.00","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","145.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","RE58691","Other","T.cruzi specific recombinant antigen","Instructions for Use (IFU)","Yes"
"a266900000BF4W4","23/04/2022","","NovaTec Immundiagnostica GmbH","NovaLisa Chagas (Trypanosoma cruzi)","Chagas Disease","Regulatory Achieved","Germany","Europe","https://www.novatec-id.com/products/novalisa/product/chagas-trypanosoma-cruzi-igg-1.html?L=0&cHash=f33f53af20baf1132df5af085abb6bda","CE-IVD; Bolivia AGEMED; Ecuador ARCSA","100.00","100.00","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","145.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","TRYP0570","Other","T.cruzi specific recombinant antigen","Instructions for Use (IFU)","Yes"
"a266900000BF4W5","23/04/2022","","ATGen Diagnostica","Celquest Chagas ELISA","Chagas Disease","Regulatory Achieved","Uruguay","Americas","http://www.atgen.com.uy/sitio/research/serologia-chagas/","Colombia INVIMA; Chile ANAMED","99.50","100.00","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","100.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","na","Other","T.cruzi specific recombinant antigen","Instructions for Use (IFU)","Yes"
"a266900000BF4Wa","23/04/2022","","Wiener Lab","Chagastest HAI","Chagas Disease","Regulatory Achieved","Argentina","Americas","https://www.wiener-lab.com/EN/SitePages/Chagas.aspx","Brazil ANVISA; CE-IVD; Colombia INVIMA; Ecuador ARCSA","100.00","98.00","Immunoassay","Antibody (serological)","Unknown","Agglutination","Slide Agglutination","No instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum","90.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","12932","Other","HAI antigen: lyophilized ram red blood cells sensibilized with cytoplasmatic T. cruzi antigens","Instructions for Use (IFU)","Yes"
"a266900000BF4Wb","23/04/2022","","Wama Diagnóstica","Imuno-HAI Chagas","Chagas Disease","Regulatory Achieved","Brazil","Americas","https://www.wamadiagnostica.com.br/reagentes/imuno-hai/","Brazil ANVISA; CE-IVD","100.00","98.70","Immunoassay","Antibody (serological)","Unknown","Agglutination","Slide Agglutination","No instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum","65.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","34096 34192 34380","Other","Trypanosoma cruzi sensitised formalised tanned fowl erythrocytes.","Instructions for Use (IFU)","Yes"
"a266900000BF4Wc","23/04/2022","","Laboratorio Lemos SRL","HAI CHAGAS POLYCHACO","Chagas Disease","Regulatory Achieved","Argentina","Americas","https://www.lab-lemos.com/","Bolivia AGEMED; Argentina ANMAT","100.00","95.00","Immunoassay","Antibody (serological)","Unknown","Agglutination","Slide Agglutination","No instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum","120.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","na","Other","HAI antigen: lyophilized ram red blood cells sensibilized with cytoplasmatic T. cruzi antigens","Instructions for Use (IFU)","Yes"
"a266900000BF4Wg","23/04/2022","","Biocientífica","Inmunofluor Chagas","Chagas Disease","Regulatory Achieved","Argentina","Americas","https://www.biocientifica.com.ar/es_arg/novedades/11-promociones/1541-inmunofluor-chagas-sensibilidad-del-100-en-la-etapa-cronica-de-la-enfermedad","CE-IVD; Bolivia AGEMED; Paraguay DINAVISA; Ecuador ARCSA","70.00","","Immunoassay","Antibody (serological)","Chagas IgG; Chagas IgM; Chagas IgA","Immunofluorescence Assay (microscopy)","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum","150.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","NF09-90","Unspecified","","Instructions for Use (IFU)","Yes"
"a266900000BF4Wh","23/04/2022","","Wama Diagnóstica","Imuno-CON Chagas","Chagas Disease","Regulatory Achieved","Brazil","Americas","https://www.wamadiagnostica.com.br/reagentes/imuno-con/","Brazil ANVISA; CE-IVD","100.00","100.00","Immunoassay","Antibody (serological)","Unknown","Immunofluorescence Assay (microscopy)","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum","110.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","1430 1460 14100 14200","Unspecified","","Instructions for Use (IFU)","Yes"
"a266900000BF4Wi","23/04/2022","","Vircell S.L.","Chagas IFA IgG + IgM","Chagas Disease","Regulatory Achieved","Spain","Europe","https://en.vircell.com/products/chagas-ifa/","Brazil ANVISA; CE-IVD","100.00","98.60","Immunoassay","Antibody (serological)","Chagas IgG; Chagas IgM","Immunofluorescence Assay (microscopy)","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","PCHAG","Unspecified","","Instructions for Use (IFU)","Yes"
"a266900000BF4Wk","23/04/2022","","Trinity Biotech","Trypanosoma cruzi IFA Test System","Chagas Disease","Regulatory Achieved","Ireland","Europe","https://www.trinitybiotech.com/products/t-cruzi-ifa-kit/","CE-IVD","","","Immunoassay","Antibody (serological)","Chagas IgG","Immunofluorescence Assay (microscopy)","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","No","","Yes, I would like the test to be made public on FIND’s test directory","Yes","Unknown","","20-03648","Other","Crude antigen obtained from T. Cruzi epimastigotes","",""
"a266900000BF4Wl","23/04/2022","","Vircell S.L.","Chagas Virclia IgG + IgM MONOTEST","Chagas Disease","Regulatory Achieved","Spain","Europe","https://en.vircell.com/products/chagas-virclia/","Brazil ANVISA; CE-IVD; Colombia INVIMA; Ecuador ARCSA","100.00","99.30","Immunoassay","Antibody (serological)","Chagas IgG; Chagas IgM","ELISA/EIA","Chemiluminescent Immunoassay (CLIA)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","70.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","VCM008","B13; Other","Recombinant Antigens: FRA, B13, MACH","Instructions for Use (IFU)","Yes"
"a266900000BF4Wm","23/04/2022","","Vircell S.L.","Chagas TESA Virclia IgG + IgM MONOTEST","Chagas Disease","Regulatory Achieved","Spain","Europe","https://en.vircell.com/products/chagas-virclia/","CE-IVD; Colombia INVIMA; Ecuador ARCSA","95.00","100.00","Immunoassay","Antibody (serological)","Chagas IgG; Chagas IgM","ELISA/EIA","Chemiluminescent Immunoassay (CLIA)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","VCM099","Other","Trypanosoma cruzi native excretory-secretory antigens (TESA)","Instructions for Use (IFU)","Yes"
"a266900000BF4XH","23/04/2022","","OPERON","Simple Chagas WB test","Chagas Disease","Regulatory Achieved","Spain","Europe","operon.es","CE-IVD","93.20","99.10","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Finger prick blood; Venous blood","10.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","9.131.020.00.000","Other","recombinant protein (multiepitope: Pep2; TcD; TcE; SAPA)","Instructions for Use (IFU)","Yes"
"a266900000BF4XI","23/04/2022","","Bio-Manguinhos | Fiocruz","TR Chagas - Bio-Manguinhos","Chagas Disease","Regulatory Achieved","Brazil","Americas","bio.fiocruz.br","Brazil ANVISA","99.40","98.50","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Finger prick blood; Venous blood","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","na","Other","T.cruzi specific recombinant antigen","Instructions for Use (IFU)","Yes"
"a266900000BF4XJ","23/04/2022","","Laboratorio Lemos SRL","Chagas Rapido First Response","Chagas Disease","Regulatory Achieved","Argentina","Americas","lab-lemos.com","Bolivia AGEMED; Argentina ANMAT","96.40","96.00","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Finger prick blood; Venous blood","20.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","na","Other","T.cruzi specific recombinant antigen","Instructions for Use (IFU)","Yes"
"a266900000BF4XK","23/04/2022","","VedaLab","Chagas (Trypanosoma cruzi)","Chagas Disease","Regulatory Achieved","France","Europe","vedalab.com","CE-IVD","","","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","10.00","No","","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","47053na 47083","Unspecified","","",""
