Performance Detail Submission: ID,Company/Institution Name,Submission Title,Country of Manufacturer,Regulatory Approval,Clinical Sensitivity (%),95% CI for Clinical Sensitivity (Lower),95% CI for Clinical Sensitivity (Upper),Clinical Specificity (%),95% CI for Clinical Specificity (Lower),95% CI for Clinical Specificity (Upper),Assay Target,Target Analyte(s),Self-testing/Self-Collection,Validated Sample Types,Time to results excl sample prep (mins),submission_id
a266900000B2ldC,Abbott Diagnostics Inc.,Panbio COVID-19 Ag Rapid Test Device (Nasal),United States,Health Canada; Singapore HSA; CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldC
a266900000B2ldi,Abbott Diagnostics Inc.,Panbio COVID-19 Ag Rapid Test Device (Nasal) (Self-test),United States,-,98.10%,-,-,100.00%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldi
a266900000A9wJ3,ABC Invest & Medical GmbH,ABC Rapid Antigen Test,Switzerland,Unknown,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Unknown,NA,a266900000A9wJ3
a266900000B2c6i,"Access Bio, Inc.",Atomo Covid-19 Antigen Test,Australia,Australia TGA,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000B2c6i
a266900000A9wF7,"Access Bio, Inc.",CareStart COVID-19 Antigen Home Test,United States,US FDA EUA; Australia TGA,91.67%,74.00%,98.00%,96.63%,93.00%,98.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,10,a266900000A9wF7
a266900000A9wCS,"Access Bio, Inc.",CareStart COVID-19 Antigen test,United States,US FDA EUA; Australia TGA; Health Canada; CE-IVD,93.75%,79.85%,98.27%,99.32%,96.27%,99.88%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,10,a266900000A9wCS
a266900000B3Dyw,"Access Bio, Inc.",CareStart COVID-19 Ag Plus,United States,Korea MFDS,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,10,a266900000B3Dyw
a266900000A9w7r,"AccuBioTech Co., Ltd.",Accu-Tell COVID-19 Antigen Cassette (Saliva),China,CE-IVD,95.00%,-,-,99.90%,-,-,Antigen,N-protein,Intended for professional use only,Saliva,10,a266900000A9w7r
a266900000A9wAo,"Acon Biotech (Hangzhou) Co., Ltd.",SARS-CoV-2 Antigen Rapid Test,China,CE-IVD; WHO EUL Under Assessment,97.10%,93.10%,98.90%,99.50%,98.20%,99.90%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9wAo
a266900000A9wAx,"ACON Laboratories, Inc.",SARS-CoV-2 Antigen Rapid Test,United States,CE-IVD,97.10%,93.10%,98.90%,99.50%,98.20%,99.90%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9wAx
a266900000A9wAy,"ACON Laboratories, Inc.",SARS-CoV-2 Antigen Rapid Test(Nasal/Saliva),China,CE-IVD,97.10%,93.10%,98.90%,99.50%,98.20%,99.90%,Antigen,N-protein,Intended for professional use only,Nasal swab; Saliva,16,a266900000A9wAy
a266900000B3DCr,"ACON Laboratories, Inc.",Flowflex SARS-CoV-2 Antigen Rapid Test,China,Health Canada,97.10%,93.10%,98.90%,99.50%,98.20%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000B3DCr
a266900000B2ldU,"ACON Laboratories, Inc.",Flowflex SARS-CoV-2 Antigen Rapid Test (Self-Testing),China,Australia TGA; Singapore HSA; Other,97.10%,-,-,98.80%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldU
a266900000Auhjn,"ACON Laboratories, Inc.",Flowflex COVID-19 Antigen Home Test,United States,US FDA EUA; Australia TGA; MHRA UK,93.00%,81.00%,99.00%,100.00%,97.00%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,NA,a266900000Auhjn
a266900000A9wFC,Acro Biotech Inc.,SARS-CoV-2 Antigen Rapid Test,United States,CE-IVD,94.60%,88.60%,98.00%,99.40%,97.70%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9wFC
a266900000A9wCT,Acro Biotech Inc.,SARS-CoV-2 Antigen Rapid Test (Swab),United States,CE-IVD,94.60%,88.60%,98.00%,99.40%,97.70%,99.90%,Antigen,N-protein,Intended for professional use only,Nasal swab; Other,15,a266900000A9wCT
a266900000A9wJQ,Actim Oy,Actim SARS-CoV-2,Finland,CE-IVD,98.25%,90.61%,99.96%,100.00%,97.57%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wJQ
a266900000A9wJ4,ADVY Chemical Pvt. Ltd.,EzDx Covid 19 Rapid Antigen Test,India,India CDSCO,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Unknown,NA,a266900000A9wJ4
a266900000A9wC4,AESKU Diagnostics GmbH,AESKU RAPID SARS-CoV-2 Antigen Rapid Test,Germany,CE-IVD; Germany BfArM,100.00%,-,-,98.00%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000A9wC4
a266900000A9wE4,"Alfa Scientific Designs, Inc.",Instant-view Plus Covid-19 Antigen Test,United States,CE-IVD,92.00%,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,7,a266900000A9wE4
a266900000B2le8,Alfresa Pharma Corporation,ALSONIC COVID-19 Ag,Japan,Japan MHLW,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000B2le8
a266900000A9wCU,AlphaBiolabs,Rapid COVID-19 Ag Antigen Test,United Kingdom,CE-IVD,97.60%,-,-,99.90%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,30,a266900000A9wCU
a266900000A9wC5,Amec GmbH,COVID-19 Antigen Quick Test (Spit Test),Germany,Germany BfArM,91.30%,85.90%,94.70%,99.60%,98.50%,99.90%,Antigen,N-protein,Intended for self-testing (version available),Saliva,15,a266900000A9wC5
a266900000A9w5O,AMEDA Labordiagnostik GmbH,AMP Rapid Test SARS-CoV-2 Ag,Austria,CE-IVD; Germany BfArM,97.30%,90.00%,99.80%,100.00%,96.60%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,15,a266900000A9w5O
a266900000A9w5P,AMEDA Labordiagnostik GmbH,AMP Rapid Test SARS-CoV-2 Ag Sputum,Austria,CE-IVD; Germany BfArM,92.20%,86.10%,96.60%,100.00%,98.50%,100.00%,Antigen,N-protein,Intended for professional use only,Sputum,15,a266900000A9w5P
a266900000A9wCV,Amedica AS,Amela Covid-19 Antigen test,Norway,CE-IVD,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Nasopharyngeal swab,30,a266900000A9wCV
a266900000A9w9y,AMS UK Ltd,2019-nCoV Antigen Device (Saliva),United Kingdom,CE-IVD,94.60%,88.50%,98.00%,99.10%,96.80%,100.00%,Antigen,N-protein,Intended for professional use only,Saliva,15,a266900000A9w9y
a266900000A9w9z,AMS UK Ltd,2019-nCoV Antigen Device (Anterior Nasal Swab),United Kingdom,CE-IVD,96.30%,94.20%,97.10%,99.50%,97.90%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9w9z
a266900000A9w5e,AMS UK Ltd,2019-nCoV Antigen Device,United Kingdom,CE-IVD,96.40%,-,-,99.20%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9w5e
a266900000A9wBW,amunet,Covinet Ag,Mexico,-,97.00%,91.00%,98.00%,94.29%,91.00%,98.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,10,a266900000A9wBW
a266900000A9wCW,"Anbio (Xiamen) Biotechnology Co.,Ltd.",Rapid COVID-19 Antigen Test (Colloidal Gold),China,China NMPA; CE-IVD,99.18%,98.45%,99.62%,100.00%,99.54%,100.00%,Antigen,N-protein,Intended for professional use only,Oropharyngeal swab; Nasal swab; Saliva,15,a266900000A9wCW
a266900000B3lqr,"Anbio (Xiamen) Biotechnology Co.,Ltd.",Rapid COVID-19 Antigen Test (Colloidal Gold) (self test),China,CE-IVD,99.18%,98.45%,99.62%,100.00%,99.54%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Oropharyngeal swab; Nasal swab; Saliva,15,a266900000B3lqr
a266900000A9wG1,"Anhui Deep Blue Medical Technology Co., Ltd.",COVID-19 (SARS-CoV-2) Antigen Test Kit (Colloidal Gold)--Saliva,China,CE-IVD,97.10%,90.80%,98.20%,99.80%,94.40%,99.90%,Antigen,N-protein,Intended for professional use only,Saliva,20,a266900000A9wG1
a266900000A9w5X,"Anhui Deep Blue Medical Technology Co., Ltd.",COVID-19 (SARS-CoV-2) Antigen Test Kit (Colloidal Gold),China,CE-IVD; WHO EUL Under Assessment,96.40%,90.80%,98.20%,99.80%,94.40%,99.90%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Saliva,20,a266900000A9w5X
a266900000A9wCX,"Anhui Deep Blue Medical Technology Co., Ltd.",Influenza A+B & COVID-19 (SARS-CoV-2) Antigen Test Kit (Colloidal Gold),China,CE-IVD,0.00%,-,-,0.00%,-,-,Antigen,N-protein; Other,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,0,a266900000A9wCX
a266900000B2ldI,"Anhui Deep Blue Medical Technology Co., Ltd.",COVID-19 (SARS-CoV-2) Antigen Test Kit (Colloidal Gold),China,WHO EUL Under Assessment,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000B2ldI
a266900000B3llI,"Anhui Deep Blue Medical Technology Co., Ltd.",COVID-19 (SARS-CoV-2) Antigen Test Kit (Colloidal Gold) ) self-testing,China,CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B3llI
a266900000AuhkA,"ANP Technologies, Inc",NIDS COVID-19 Antigen Rapid Test Kit 09/24/2021,United States,US FDA EUA,95.10%,83.50%,99.40%,97.00%,94.10%,98.70%,Antigen,N-protein,Intended for professional use only,Nasal swab,NA,a266900000AuhkA
a266900000A9wJe,AnteoTech Ltd,EuGeni SARS-CoV-2 Antigen Rapid Diagnostic Test,Australia,CE-IVD,97.30%,-,-,99.60%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wJe
a266900000A9wBM,API Pharma USA,API Covid-Rapid SARS CoV-2 Antigen Test,United States,China NMPA; CE-IVD,96.90%,-,-,99.50%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Saliva,15,a266900000A9wBM
a266900000A9wCY,Apollo Biomedical LLC,Novel SARS-CoV-2 Coronavirus Spike Glycoprotein Detection Kit (S Protein-ACE2 re,China,CE-IVD; MHRA UK,-,-,-,-,-,-,Antigen,S-protein (type unknown),Intended for self-testing (version available),Sputum; Feces,15,a266900000A9wCY
a266900000A9wKP,ARISTA™ COVID-19 Antigen Rapid Test,ARISTA COVID-19 Antigen Rapid Test,Singapore,Australia TGA; CE-IVD; Germany BfArM,96.21%,91.38%,98.76%,99.73%,98.24%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab; Sputum,15,a266900000A9wKP
a266900000A9wFD,Artron Laboratories Inc.,Artron COVID-19 Self Test,Canada,Brazil ANVISA; CE-IVD; Philippines FDA; Other,91.86%,87.40%,95.10%,100.00%,99.50%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000A9wFD
a266900000A9w7j,Artron Laboratories Inc.,Artron COVID-19 Antigen Test,Canada,Health Canada; CE-IVD; WHO EUL Under Assessment,91.27%,84.92%,95.56%,100.00%,99.22%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,20,a266900000A9w7j
a266900000B2bdZ,Artron Laboratories Inc.,Artron COVID-19 Antigen Test (Nasal),Canada,Health Canada,91.30%,-,-,99.56%,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000B2bdZ
a266900000B2vPO,Artron Laboratories Inc.,Artron COVID-19 Antigen Test (Nasopharyngeal),Canada,Health Canada,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000B2vPO
a2669000009yi41,Arvin Biohealth,Novel Coronavirus 2019-nCoV Antigen Rapid Test,"Iran, Islamic Rep.",Other,95.00%,86.30%,98.30%,98.00%,93.00%,99.50%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a2669000009yi41
a266900000A9wF1,"Asan Pharmaceutical Co., LTD",Asan Easy Test COVID-19 Ag,"Korea, Republic of",Korea MFDS; CE-IVD,94.70%,89.80%,97.70%,97.70%,95.60%,99.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,20,a266900000A9wF1
a266900000A9w89,"Assure Tech. (Hangzhou) Co., Ltd.",COVID-19 Antigen Saliva Test Kit,China,CE-IVD,90.00%,69.90%,97.20%,97.00%,89.60%,99.20%,Antigen,N-protein,Intended for professional use only,Saliva,15,a266900000A9w89
a266900000A9wJ5,"Assure Tech. (Hangzhou) Co., Ltd.",Ecotest COVID-19 Antigen Saliva Test kit,China,Australia TGA; CE-IVD,-,-,-,-,-,-,Antigen,Unknown,Intended for self-testing (version available),Saliva,NA,a266900000A9wJ5
a266900000A9w6G,"Assure Tech. (Hangzhou) Co., Ltd.",COVID-19 & Influenza A/B Antigen Combo Test Device,China,CE-IVD,97.30%,86.20%,99.50%,100.00%,89.00%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9w6G
a266900000A9w72,"Assure Tech. (Hangzhou) Co., Ltd.",COVID-19 Antigen Rapid Test Device,China,Australia TGA; Health Canada; CE-IVD,97.70%,93.30%,99.20%,99.10%,98.40%,99.50%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9w72
a266900000A9w74,"Assure Tech. (Hangzhou) Co., Ltd.",FLUA-FLUB-RSV-ADV-COVID-19 Combo Test Device,China,CE-IVD,97.30%,86.20%,99.50%,100.00%,89.00%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9w74
a266900000B2ln5,"Assure Tech. (Hangzhou) Co., Ltd.",Ecotest COVID-19 Antigen Saliva Test kit,China,Australia TGA; CE-IVD,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Saliva,NA,a266900000B2ln5
a266900000B2ldr,"Assure Tech. (Hangzhou) Co., Ltd.",SARS-CoV-2 Antigen Rapid Tests for Self-Testing,China,CE-IVD,-,-,-,-,-,-,Antigen,Unknown,Intended for self-testing (version available),Nasal swab,NA,a266900000B2ldr
a266900000B2bwl,"Assure Tech. (Hangzhou) Co., Ltd.",Ecotest COVID-19 Antigen Nasal Test Kit,China,Australia TGA; CE-IVD,96.10%,-,-,99.80%,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,NA,a266900000B2bwl
a266900000A9w6p,"Atlas Link Technology Co., Ltd.",SARS-CoV-2 Antigen Rapid Test Kit,China,CE-IVD,97.60%,91.70%,99.30%,99.20%,97.40%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000A9w6p
a266900000A9wCa,Augurix Diagnostics  SA,Simtomax CoronaCheck Antigen,Switzerland,CE-IVD,95.45%,-,-,98.29%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wCa
a266900000AjEzJ,Avacta Life Sciences Ltd,AffiDX® SARS-CoV-2 Antigen Lateral Flow Test,United Kingdom,CE-IVD; MHRA UK,98.00%,92.90%,99.40%,99.00%,94.70%,99.80%,Antigen,S-protein (type unknown),Intended for professional use only,Nasal swab,20,a266900000AjEzJ
a266900000A9w6A,"Avioq Bio-Tech Co.,Ltd",Novel Coronavirus (SARS-CoV-2) Antigen Detection Kit(Colloidal Gold),China,CE-IVD,97.06%,98.74%,93.30%,99.01%,99.75%,96.78%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,10,a266900000A9w6A
a266900000A9wE5,BBB/Celltrion,SAMPINUTE COVID-19 Antigen MIA,"Korea, Republic of",US FDA EUA; CE-IVD,94.40%,80.00%,99.00%,100.00%,88.00%,100.00%,Antigen,S-protein RBD,Intended for professional use only,Nasopharyngeal swab,10,a266900000A9wE5
a266900000Auhkf,BBB tech,MarkB covid19 Ag test,"Korea, Republic of",Korea MFDS; CE-IVD,93.00%,84.75%,97.00%,100.00%,97.23%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000Auhkf
a266900000B3E9s,"Becton, Dickinson and Company (BD)",BD Kit for Rapid Detection of SARS-CoV-2 (self-test list),United States,Singapore HSA,-,-,-,-,-,-,Antigen,Unknown,Intended for self-testing (version available),Nasal swab,15,a266900000B3E9s
a266900000A9wE2,"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,United States,US FDA EUA; Japan MHLW; Australia TGA; Health Canada; Singapore HSA; CE-IVD,93.50%,79.30%,98.20%,99.30%,96.40%,99.90%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9wE2
a266900000B2ldD,"Becton, Dickinson and Company (BD)",BD Kit for Rapid Detection of SARS-CoV-2,United States,Health Canada; Singapore HSA; CE-IVD,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Nasal swab,15,a266900000B2ldD
a266900000Auhkg,"Becton, Dickinson and Company (BD)",BD Veritor At-Home COVID-19 Test,United States,US FDA EUA; Health Canada; Singapore HSA,84.60%,70.30%,92.80%,99.80%,99.00%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,NA,a266900000Auhkg
a266900000Auhkh,"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2 & Flu A+B,United States,US FDA EUA,86.70%,75.80%,93.10%,99.50%,97.40%,99.90%,Antigen,N-protein,Intended for professional use only,Nasal swab,NA,a266900000Auhkh
a266900000A9wCb,"Beijing Abace Biology Co., Ltd",COVID-19 Viral Antigen Test Kit (Colloidal Gold Immunochromatography),China,CE-IVD,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Serum; Plasma,NA,a266900000A9wCb
a266900000A9w65,"Beijing Diagreat Biotechnologies Co., Ltd",2019-nCoV Antigen Rapid Test Kit (Colloidal gold Assay),China,CE-IVD; WHO EUL Under Assessment,91.90%,86.10%,95.40%,97.60%,96.20%,98.50%,Antigen,N-protein,Intended for self-testing (version available),Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Saliva,15,a266900000A9w65
a266900000Aw8bt,"Beijing Diagreat Biotechnologies Co., Ltd",2019-nCoV Antigen Rapid Test Kit (Colloidal gold Assay),China,CE-IVD; WHO EUL Under Assessment,100.00%,47.82%,100.00%,100.00%,98.59%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Saliva,15,a266900000Aw8bt
a266900000Aw8bZ,"Beijing Diagreat Biotechnologies Co., Ltd",2019-nCoV Antigen Rapid Test Kit (Colloidal gold Assay),China,CE-IVD; WHO EUL Under Assessment,96.40%,92.96%,98.42%,100.00%,98.17%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Saliva,15,a266900000Aw8bZ
a266900000A9wC6,"Beijing Hotgen Biotech Co., Ltd.",Novel Coronavirus 2019-nCoV Antigen Test (Colloidal Gold),China,CE-IVD; Germany BfArM; WHO EUL Under Assessment,-,-,-,-,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000A9wC6
a266900000A9wC7,"Beijing Hotgen Biotech Co., Ltd.",Coronavirus (2019-nCoV) Antigen Test - Saliva,China,CE-IVD; Germany BfArM,-,-,-,-,-,-,Antigen,Unknown,Intended for self-testing (version available),Saliva,15,a266900000A9wC7
a266900000A9wFH,"Beijing Jinwofu Bioengineering Technology Co., Ltd.",Novel Coronavirus(SARS-CoV-2) Antigen Rapid Test Kit,China,CE-IVD; WHO EUL Under Assessment,96.14%,92.50%,98.03%,100.00%,96.40%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wFH
a266900000AvwcB,"Beijing Jinwofu Bioengineering Technology Co., Ltd.",Jinwofu®Novel Coronavirus (SARS-CoV-2) Antigen Rapid Test Kit,China,China NMPA; CE-IVD; MHRA UK; Philippines FDA; Germany BfArM; WHO EUL Under Assessment; Other,85.96%,80.00%,90.30%,100.00%,96.34%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,15,a266900000AvwcB
a266900000A9wI5,Beijing Kewei Clinical Diagnostic Reagent Inc.,COVID-19 Antigen Rapid Test Kit (Colloidal Gold),China,CE-IVD,96.18%,91.91%,98.24%,100.00%,96.90%,99.34%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,20,a266900000A9wI5
a266900000A9w64,Beijing Kewei Clinical Diagnostic Reagent Inc.,COVID19 Antigen Rapid Test Kit,China,CE-IVD,96.18%,91.91%,98.24%,100.00%,96.90%,99.34%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,15,a266900000A9w64
a266900000A9wCc,Beijing Kewei Clinical Diagnostic Reagent Inc.,Kewei COVID-19 Antigen Rapid Test Kit (FIA),China,CE-IVD,85.00%,63.96%,94.76%,100.00%,96.30%,100.00%,Antigen,N-protein,Intended for professional use only,Oropharyngeal swab; Nasal swab,15,a266900000A9wCc
a266900000A9wCd,"Beijing Lepu Medical Technology Co., Ltd.",2019-nCoV Antigen Rapid Test Kit (Colloidal Gold Immunochromatography),China,CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9wCd
a266900000B2ldq,"Beijing Lepu Medical Technology Co., Ltd.",SARS-CoV-2 Antigen Rapid Test Kits for Self-testing (Colloidal Gold Immunochroma,China,CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldq
a266900000A9wGG,"Beijing Savant Biotechnology Co., Ltd.",Savant SARS-CoV-2 Antigen Rapid Test Device,China,CE-IVD,97.25%,92.22%,99.06%,99.52%,97.35%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9wGG
a266900000A9wCe,"Beijing Savant Biotechnology Co., Ltd.",New Coronavirus (SARS-CoV-2) N Protein Detection Kit (Fluorescence),China,CE-IVD,90.00%,79.85%,95.34%,100.00%,97.66%,100.00%,Antigen,N-protein,Intended for professional use only,Oropharyngeal swab,15,a266900000A9wCe
a266900000A9wCf,"Beijing Tigsun Diagnostics Co., Ltd",Tigsun COVID-19 Antigen Rapid Test,China,CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9wCf
a266900000A9wCg,"Beijing Tigsun Diagnostics Co., Ltd",Tigsun COVID-19 Antigen Rapid Test (FIA),China,CE-IVD,0.00%,-,-,0.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,15,a266900000A9wCg
a266900000A9wCh,"Beijing Tigsun Diagnostics Co., Ltd",Tigsun COVID-19 Antigen Saliva Rapid Test,China,CE-IVD,92.59%,76.63%,97.94%,98.67%,92.83%,100.00%,Antigen,N-protein,Intended for professional use only,Saliva,15,a266900000A9wCh
a266900000A9wCj,"Beijing Wantai Biological Pharmacy Enterprise Co.,Ltd",Wantai SARS-COV-2 Antigen Rapid Test (FIA),China,CE-IVD,95.70%,-,-,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,20,a266900000A9wCj
a266900000A9wCi,"Beijing Wantai Biological Pharmacy Enterprise Co.,Ltd",Wantai SARS-CoV-2 Antigen Rapid Test (Colloidal gold),China,Australia TGA; CE-IVD,93.44%,-,-,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,20,a266900000A9wCi
a266900000Auhkk,BGI Europe A/S,SARS-CoV-2 Virus Antigen Detection Kit (colloidal gold method),-,WHO EUL Under Assessment,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,-,NA,a266900000Auhkk
