submission_id,manufacturer,submission_title,type_of_technology,self_testing_self_collection,assay_target,test_format,target_analyte,validated_sample_types,instrument_requirement,level_of_automation,laboratory_point_of_care,time_to_result,connectivity,sc2_alpha,sc2_beta,sc2_gamma,sc2_delta_plus,sc2_delta,sc2_omicron,regulatory_status,clinical_sensitivity,clinical_specificity,permalink,regex,country,region
a266900000BAciy,"Humasis Co., ltd.",Humasis COVID-19 IgG/IgM Test,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG; IgM,Serum; Plasma; Whole Blood,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS; CE-IVD,NA,NA,https://www.humasis.com/en/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAcvx,"SG Medical, Inc.",R-FIND COVID-19 IgG ELISA,Immunoassay,Intended for professional use only,Antibody (serological),Reagent Kit,IgG,Serum,A proprietary/new instrument is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS; CE-IVD,NA,NA,http://www.sgmedical.kr,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BActw,"LabGenomics Co., ltd.",LabGun COVID-19 ExoFast RT-PCR Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Bronchoalveolar lavage,Standard lab instrumentation is required,Manual,Lab-based,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS; CE-IVD,NA,NA,http://www.labgenomics.co.kr/eng/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAdB7,"Cancer Rop Co., ltd.",Q-Sens® COVID-19 Detection Kit V2,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Sputum,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS,NA,NA,http://www.cancerrop.com/main,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAccb,"Asan Pharmaceutical Co., ltd.",Asan Easy Test COVID-19 IgG/IgM (N),Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG; IgM,Serum; Plasma; Whole Blood,No instrumentation is required,Manual,True Point of Care,20,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS; CE-IVD,97.10 %,98.70 %,https://www.asanpharm.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BF5GH,ImmuneMed Inc.,IMMUNEMED COVID-19 Ag RAPID,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS,96.90 %,97.30 %,NA,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BF5DE,MEDIAN DIAGNOSTICS INC,MDx COVID-19 Ag Rapid Kit,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS,95.00 %,100.00 %,http://www.mediandiagnostics.com/eng/collection.php,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BF559,"Jiangsu Well Biotech Co.,ltd.",Orawell COVID-19 Ag Rapid Test Device,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),Unknown,Saliva,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,No impact (analytical/clinical studies conducted),Unknown,WHO EUL Under Assessment,94.74 %,100.00 %,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000BF5Ef,"Philosys Co., ltd.",Gmate® COVID-19 Ag,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Saliva,No instrumentation is required,Manual,True Point of Care,10,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS,NA,NA,http://philosys.com/gmate/covid,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BF4yX,"MicroGEM U.S., Inc.",MicroGEM Sal6830 SARS-CoV-2 Saliva Test,Molecular,Intended for professional use only,RNA,Cartridge-based processing,E gene; N gene,Saliva,A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,30,Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA,87.20 %,97.20 %,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BF4dA,Mexacare Diagnostics GmbH,MEXACARE CORONA Home-Test Antigen,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),Other,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,99.90 %,99.90 %,https://mexacare.com/,^(?!.*east).*germany|^(?=.*\bfed.*\brep).*german,Germany,Europe
a266900000BF4d0,Lightdeck,COVID-19 Total Antigen Test,Immunoassay,Intended for professional use only,Antigen,Cartridge-based processing,Unknown,Nasal swab,A proprietary/new instrument is required,NA,True Point of Care,5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,https://lightdeckdx.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BErvf,"Minute Molecular Diagnostics, Inc.",DASH SARS-CoV-2/S Test ,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",N gene,Nasal swab,A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,15,Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),NA,No expected impact (in silico analyses),No impact (analytical/clinical studies conducted),US FDA EUA,95.90 %,98.50 %,https://www.m2dx.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BErBn,Fluidigm Corporation,Advanta Dx COVID-19 EASE Assay,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",Unknown,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Bronchoalveolar lavage; Saliva,Standard lab instrumentation is required,Manual,Lab-based,NA,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA,97.20 %,95.20 %,https://www.fluidigm.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BErbi,Roche Molecular Systems,cobas SARS-CoV-2 Nucleic acid test for use on the cobas Liat System (cobas SARS-,Molecular,Intended for professional use only,RNA,Cartridge-based processing,N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No expected impact (in silico analyses),US FDA EUA,96.10 %,96.80 %,https:/diagnostics.roche.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BErei,Cepheid,Xpert Xpress SARS-CoV-2 DoD,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",E gene; N gene; Other,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab,A proprietary/new instrument is required,Automated (excluding sample preparation),True Point of Care,30,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,US FDA EUA,NA,NA,https://www.cepheid.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BEmP3,Abbott Diagnostics Korea Inc.,ID NOW COVID-19 v2.0,Molecular,Intended for professional use only,RNA,Cartridge-based processing,RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,13,Unknown,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA; Health Canada,NA,NA,https://www.abbott.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BEmPD,"Guangzhou Decheng Biotechnology Co., LTD","V-CHEK, 2019-nCoV Ag Rapid Test Kit (Immunochromatography for self-testing)",Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,A proprietary/new instrument is required,Manual,True Point of Care,15,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA,96.55 %,99.42 %,http://www.dochekbio.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000BEmPc,Primerdesign ltd. - Novacyt Group,PROmate COVID-19,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Sputum; Saliva,A proprietary/new instrument is required,Manual,Lab-based,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD; MHRA UK,98.00 %,92.00 %,https://www.primerdesign.co.uk,united.?kingdom|britain|^u\.?k\.?$,United Kingdom,Europe
a266900000BEmPI,Seegene Inc.,Allplex SARS-CoV-2 fast PCR Assay,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",E gene; N gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Bronchoalveolar lavage,A proprietary/new instrument is required,Manual,Lab-based,52,Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),Unknown,Australia TGA; CE-IVD,99.17 %,99.81 %,http://www.seegene.com/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BEmP8,"OSANG Healthcare Co., ltd.",OHC COVID-19 Antigen Self Test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US FDA EUA,NA,98.60 %,http://www.osanghc.com/en/home_en/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
