submission_id,manufacturer,submission_title,type_of_technology,self_testing_self_collection,assay_target,test_format,target_analyte,validated_sample_types,instrument_requirement,level_of_automation,laboratory_point_of_care,time_to_result,connectivity,sc2_alpha,sc2_beta,sc2_gamma,sc2_delta_plus,sc2_delta,sc2_omicron,regulatory_status,permalink,regex,country,region
a266900000A9w6X,Abacus Diagnostica Oy,"GenomEra® SARS-CoV-2, Flu A/B + RSV Assay Kit",Molecular,Intended for professional use only,RNA,Cartridge-based processing,RdRp gene,Nasopharyngeal swab; Oropharyngeal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,70,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD,https://www.abacusdiagnostica.com,finland,Finland,Europe
a266900000B4AVH,Abacus Diagnostica Oy,GenomEra SARS-CoV-2 2.0 Assay Kit,Molecular,Intended for professional use only,RNA,Cartridge-based processing,E gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Other,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,50,Yes,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),CE-IVD,NA,finland,Finland,Europe
a266900000A9w8p,AB ANALITICA,REALQUALITY RQ-2019-nCoV,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; ORF1b,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,70,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.abanalitica.com,italy,Italy,Europe
a266900000A9w8v,AB ANALITICA,REALQUALITY RQ-SARS-CoV-2,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",S gene; ORF1b,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,70,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.abanalitica.com,italy,Italy,Europe
a266900000A9w8y,AB ANALITICA,REALQUALITY ABFlu-CoV-2,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; ORF1b,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,70,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.abanalitica.com,italy,Italy,Europe
a266900000BBn8U,Abbott,SARS-CoV-2 IgG Kit,Immunoassay,Intended for professional use only,Antibody (serological),IA Reagent Kit,IgG,Serum; Plasma,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,0,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BBn8V,Abbott,SARS-CoV-2 IgM Kit,Immunoassay,Intended for professional use only,Antibody (serological),IA Reagent Kit,IgM,Serum; Plasma,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,0,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BEWLI,Abbott,AdviseDx SARS-CoV-2 IgM,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgM,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BEWLJ,Abbott,AdviseDx SARS-CoV-2 IgG II,Immunoassay,Intended for professional use only,Antibody (serological),Chemiluminescent Immunoassay (CLIA),IgG,Serum; Plasma,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,NA,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA; Health Canada,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000AvRaE,Abbott,SARS-CoV-2 IgG (for Architect & Alinity i systems),Immunoassay,Intended for professional use only,Antibody (serological),Chemiluminescent Immunoassay (CLIA),IgG,Serum; Plasma,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,NA,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US FDA EUA; Health Canada; WHO EUL Under Assessment,abbott.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000Auhjh,Abbott,BinaxNOW COVID-19 Antigen Self Test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA; Health Canada,http://www.abbott.com/index.htm,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000Auhji,Abbott,BinaxNOW COVID-19 Ag Card Home Test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),Unknown,US FDA EUA,http://www.abbott.com/index.htm,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000Auhjk,Abbott,BinaxNOW COVID-19 Ag 2 Card,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA,http://www.abbott.com/index.htm,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000Auhjl,Abbott,Alinity m Resp-4-Plex,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",N gene; RdRp gene; Influenza A; Influenza B; Other,Nasopharyngeal swab; Oropharyngeal swab; Mid-turbinate swab; Bronchoalveolar lavage,A proprietary/new instrument is required,Manual,Lab-based,NA,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA; Australia TGA; Health Canada; MHRA UK,http://www.abbott.com/index.htm,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BEmP3,Abbott Diagnostics Korea Inc.,ID NOW COVID-19 v2.0,Molecular,Intended for professional use only,RNA,Cartridge-based processing,RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,13,Yes,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA; Health Canada,https://www.abbott.com/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAd8D,Abbott Diagnostics Korea Inc.,SARS-CoV-2 IgG II Quant Reagent Kit,Immunoassay,Intended for professional use only,Antibody (serological),Chemiluminescent Immunoassay (CLIA),IgG,Plasma,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,NA,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS; Australia TGA; Health Canada,https://www.corelaboratory.abbott/int/en/offerings/segments/infectious-disease/sars-cov-2-,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9wE0,Abbott Diagnostics Korea Inc.,Panbio COVID-19 Ag Rapid Test Device (Nasopharyngeal),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),WHO EUL; Japan MHLW; Australia TGA; Health Canada; Singapore HSA; CE-IVD,https://www.abbott.com/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9wE1,Abbott Diagnostics Korea Inc.,Panbio COVID-19 Ag Rapid Test Device (Nasal),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),WHO EUL; Japan MHLW; Australia TGA; Health Canada; Singapore HSA; CE-IVD,https://www.abbott.com/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9wC0,Abbott Diagnostics Korea Inc.,BinaxNOW COVID-19 Ag Card,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA; Health Canada,https://www.abbott.com/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9wCP,Abbott Diagnostics Korea Inc.,ID NOW COVID-19,Molecular,Intended for professional use only,RNA,Cartridge-based processing,RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,13,Yes,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA; Japan MHLW; Australia TGA; Health Canada; MHRA UK,https://www.abbott.com/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B2lEj,Abbott Diagnostics Korea Inc.,Panbio COVID-19 Antigen self-test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Australia TGA; Health Canada; Singapore HSA; WHO EUL Under Assessment,https://www.abbott.com/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a2669000009z9cn,Abbott Molecular,Abbott RealTime SARS-CoV-2 assay,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",N gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab,A proprietary/new instrument is required,Manual,Lab-based,NA,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),WHO EUL; US FDA EUA; Australia TGA; Brazil ANVISA; Health Canada; CE-IVD; MHRA UK; South Africa SAHPRA,https://www.abbottmolecular.com/home.html,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a2669000009z9co,Abbott Molecular,Alinity m SARS-CoV-2 assay,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",N gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Bronchoalveolar lavage,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,NA,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA; Korea MFDS; Australia TGA; Health Canada; Singapore HSA; CE-IVD; MHRA UK,https://www.abbottmolecular.com/home.html,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000B5QIW,Abbott Rapid Diagnostics,Panbio Covid-19 Ag Rapid Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,NA,^(?!.*east).*germany|^(?=.*\bfed.*\brep).*german,Germany,Europe
a2669000009z9cs,AB Diagnostic Systems GmbH,abia SARS-CoV-2 IgG/IgM,Immunoassay,Intended for professional use only,Antibody (serological),IA Reagent Kit,IgG; IgM,Serum; Plasma,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.ab-ds.de/,^(?!.*east).*germany|^(?=.*\bfed.*\brep).*german,Germany,Europe
a266900000B5QIX,Abioteq GmbH,Cora Gentest-19,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,www.abioteq.de,^(?!.*east).*germany|^(?=.*\bfed.*\brep).*german,Germany,Europe
a2669000009z9cZ,ABL Inc.,Deepcheck COVID-19 NGS assay and software,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",E gene; N gene; RdRp gene,Nasopharyngeal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://ablinc.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000B5QIY,"Absology Co., ltd.",Absoludy COVID-19 Ag,Immunoassay,Intended for professional use only,Antigen,Cartridge-based processing,N-protein,Nasopharyngeal swab,A proprietary/new instrument is required,Manual,near Point of Care,5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,www.absology.co.kr,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B5QIZ,"Absology Co., ltd.",Absoludy COVID-19 Ag Rapid,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,www.absology.co.kr,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a2669000009z9Xr,Accelerate Technology Pte ltd.,Resolute 2.0 assay,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",Unknown,Nasopharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA,https://accelerate-technologies.com/,singapore,Singapore,Asia
a2669000009z9bA,"Access Bio, Inc.",CareStart COVID-19 MDx RT-PCR,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Bronchoalveolar lavage,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US FDA EUA; Australia TGA; CE-IVD,http://www.accessbio.net,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9wF7,"Access Bio, Inc.",CareStart COVID-19 Antigen Home Test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,10,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,US FDA EUA; Australia TGA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9wCS,"Access Bio, Inc.",CareStart COVID-19 Antigen test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,10,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US FDA EUA; Australia TGA; Health Canada; CE-IVD,http://www.accessbio.net,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BEWLK,"Access Bio, Inc.",CareStart COVID-19 IgM/IgG,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG; IgM,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA; Korea MFDS,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BEWLL,"Access Bio, Inc.",CareStart EZ COVID-19 IgM/IgG,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG; IgM,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BF58d,"Access Bio, Inc.",CareStart COVID-19 IgM/IgG,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG; IgM,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA; Korea MFDS,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000B3Dyw,"Access Bio, Inc.",CareStart COVID-19 Ag Plus,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,10,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS,http://www.accessbio.net,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9w7r,"AccuBioTech Co., ltd.",Accu-Tell COVID-19 Antigen Cassette (Saliva),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Saliva,No instrumentation is required,Manual,True Point of Care,10,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.accubiotech.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B5QIM,"AccuBioTech Co., ltd.",Accu-Tell SARS-CoV-2 Ag Cassette,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,www.accubiotech.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B5QIa,"AccuBioTech Co., ltd.",Accu-Tell COVID-19 Antigen Cassette (Nasal Swab),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,www.accubiotech.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
