date_of_submission,manufacturer,submission_id,submission_title,country,region,stage_of_development,regulatory_status,type_of_technology,assay_aim,syndromes,other_target_pathogen,permalink,planned_market_entry,primary_use_case,ID_type,disease_target,assay_target,organism_classes,target_pathogen,target_analyte,technology_principle,readout_technology,other_readout_technology,qualitative_or_quantitative,antimicrobial_resistance_class,resistance_marker,other_antimicrobial_resistance_class,Drug_resistance_target,Other Drug resistance target,AST_output,test_format,other_test_format,instrument_requirement,level_of_automation,lab_vs_poc,self_testing_self_collection,validated_sample_types,other_validated_sample_type,time_to_results_excl_prep,city,test_to_be_listed_on_finds_web_page,country_tmp,city2,lat,lng,name,region_availability,is_this_a_variant_detection_test,format_of_material_provided,qual_or_quant,storage_temp,performance_detail_submission_id,sensitivity,specificity,connectivity_solution,find_evaluation,s_gene_dropout,scov2_variants,data_to_be_published_on_finds_web_page,study_type,number_of_positive_samples,number_of_negative_samples,total_number_of_samples,sc2_impact_alpha,sc2_impact_beta,sc2_impact_delta,sc2_impact_delta_plus,sc2_impact_gamma,sc2_impact_omicron,sc2_impact_omicron_ba4,sc2_impact_omicron_ba5,laboratory_point_of_care,time_to_result,performance_submission_title,type_data_source,sensitivity_ci_low,sensitivity_ci_up,specificity_ci_low,specificity_ci_up,target_patient_group,sample_type,total_number_samples,number_positive_samples,number_negative_samples,serovar_subtype,instrument_name,disease_target_phase,drug_resistance_target,other_drug_resistance_target,other_regulatory_status,who_technology_class,who_pipe
25.05.2023,TECHLAB,a2r69000007laOi,H. PYLORI QUIK CHEK,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; Health Canada; US FDA 510k,Immunoassay,ID,Gastro-intestinal Infections,NA,https://techlab.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Helicobacter pylori,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,Standard lab instrumentation is required,Manual,near Point of Care,Intended for professional use only,Faeces,NA,30,Blacksburg,Yes,United States,"Blacksburg, United States",37.22578049,-80.4101181,amr_testdir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.05.2023,Biosynex SA,a2r69000007laPJ,BIOSYNEX Legionella pneumophila BSS,France,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Lower Respiratory Tract Infections,NA,https://biosynex.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urine,NA,NA,Illkirch-Graffenstaden,Yes,France,"Illkirch-Graffenstaden, France",48.52934265,7.71107864,amr_testdir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.05.2023,Citest Diagnostics Inc.,a2r69000007laOl,Clostridium difficile GDH+ Toxin A +Toxin B Rapid Test,Canada,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Gastro-intestinal Infections,NA,https://citestdiagnostics.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram+),Clostridioides difficile,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Faeces,NA,10,Vancouver,Yes,Canada,"Vancouver, Canada",49.26356506,-123.13857269,amr_testdir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.05.2023,Coris BioConcept,a2r69000007laPM,Legionella K-SeT,Belgium,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Lower Respiratory Tract Infections,NA,https://corisbio.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urine,NA,15,Gembloux,Yes,Belgium,"Gembloux, Belgium",50.56044006,4.69319773,amr_testdir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.05.2023,TECHLAB,a2r69000007laOk,CAMPYLOBACTER QUIK CHEK,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; Health Canada; US FDA 510k,Immunoassay,ID,Gastro-intestinal Infections,Campylobacter lari; Campylobacter upsaliensis,https://techlab.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Gastroenteritis,Antigen,Bacteria (Gram-),Campylobacter coli; Campylobacter jejuni; Other,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,Standard lab instrumentation is required,Manual,near Point of Care,Intended for professional use only,Faeces,NA,30,Blacksburg,Yes,United States,"Blacksburg, United States",37.22578049,-80.4101181,amr_testdir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.05.2023,"Assure Tech. (Hangzhou) Co., ltd.",a2r69000007laPL,Assure Tech S. pneumoniae+ Legionella 2 in 1,China,Western Pacific Region,Regulatory Status Unknown,Unknown,Immunoassay,ID,Lower Respiratory Tract Infections; Upper Respiratory Tract Infections,NA,https://diareagent.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram+); Bacteria (Gram-),Legionella pneumophila; Streptococcus pneumoniae,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urine,NA,NA,Hangzhou,Yes,China,"Hangzhou, China",30.24592018,120.21079254,amr_testdir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.05.2023,FASTinov S.A.,a2r69000007laOn,FASTgramneg AST,Portugal,European Region,Regulatory Achieved,CE-IVDD,Growth based,Phenotypic AST,Bloodstream Infections,Pseudomonas spp; Acinetobacter spp,https://fastinov.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,Growth/metabolism,Bacteria (Gram-),Enterobacterales; Other,Unknown,Culture,Colorimetric,NA,NA,CPO; ESBL,Not applicable,NA,Amikacin; Ampicillin; Cefepime; Cefotaxime; Ceftazidime; Ciprofloxacin; Gentamicin; Meropenem; Piperacilin/Tazobactam; Other,Amoxacillin-clavulanic acid; Ceftalozane-tazobactam; Ceftazidime-avibactam,S/I/R,Other,Plate,Unknown,Manual,Lab-based,Intended for professional use only,Unknown,NA,NA,Porto,Yes,Portugal,"Porto, Portugal",41.15015411,-8.61031818,amr_testdir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.05.2023,ELITechGroup,a2r69000007laPO,Pneumocystis ELITe MGB Kit,France,European Region,Regulatory Achieved,CE-IVDD,Molecular,ID,Lower Respiratory Tract Infections,Pneumocystis jirovecii,https://elitechgroup.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,DNA,Fungi,Other,Unknown,qPCR,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,NAT reagent kit (proprietary platform),NA,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,Intended for professional use only,Bronchoalveolar lavage; Sputum,NA,150,Puteaux,Yes,France,"Puteaux, France",48.88328552,2.23760176,amr_testdir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.05.2023,FASTinov S.A.,a2r69000007laOm,FASTgrampos AST,Portugal,European Region,Regulatory Achieved,CE-IVDD,Growth based,Phenotypic AST,Bloodstream Infections,Staphylococcus spp; Enterococcus spp; Bacillus spp,https://fastinov.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,Growth/metabolism,Bacteria (Gram+),Other,Unknown,Culture,Colorimetric,NA,NA,Not applicable,Not applicable,NA,Ampicillin; Cefoxitin; Gentamicin; Oxacillin; Penicillin; Vancomycin; Other,Linezolid,S/I/R,Other,Plate,Unknown,Manual,Lab-based,Intended for professional use only,Unknown,NA,NA,Porto,Yes,Portugal,"Porto, Portugal",41.15015411,-8.61031818,amr_testdir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.05.2023,ELITechGroup,a2r69000007laPN,Respiratory Bacterial ELITe MGB Panel,France,European Region,Regulatory Achieved,CE-IVDD,Molecular,ID,Lower Respiratory Tract Infections,NA,https://elitechgroup.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,DNA,Bacteria (Gram-); Other,Chlamydia pneumoniae; Legionella pneumophila; Mycoplasma pneumoniae,Unknown,qPCR,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,NAT reagent kit (proprietary platform),NA,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,Intended for professional use only,Bronchoalveolar lavage,NA,150,Puteaux,Yes,France,"Puteaux, France",48.88328552,2.23760176,amr_testdir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.05.2023,Noscendo GmbH,a2r69000007laOp,DISQVER,Germany,European Region,Regulatory Achieved,CE-IVDD,Sequencing,ID,Bloodstream Infections,NA,https://noscendo.com,Already on the market (commercialized),Diagnostic/confirmatory test,Unknown,Unspecified,DNA,Bacteria (Gram+); Bacteria (Gram-); Fungi; Parasite; Virus,Unknown,Unknown,NA,Unspecified,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Unspecified,NA,Unknown,Unknown,Laboratory-developed test,Intended for professional use only,Venous blood,NA,NA,Duisburg,Yes,Germany,"Duisburg, Germany",51.43514633,6.76269102,amr_testdir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.05.2023,"Meridian Bioscience, Inc.",a2r69000007laPQ,MERIFLUOR Pneumocystis,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Lower Respiratory Tract Infections,Pneumocystis carinii,https://meridianbioscience.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,Unknown,Fungi,Other,Unknown,Agglutination,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Slide Agglutination,NA,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Bronchoalveolar lavage; Sputum; Other,Bronchial wash,30,Cincinnati,Yes,United States,"Cincinnati, United States",39.10369873,-84.51361084,amr_testdir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.05.2023,FASTinov S.A.,a2r69000007laOo,FASTcolistin MIC,Portugal,European Region,Regulatory Achieved,CE-IVDD,Growth based,Phenotypic AST,Bloodstream Infections,Pseudomonas spp; Acinetobacter spp,https://fastinov.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,Growth/metabolism,Bacteria (Gram-),Enterobacterales; Other,Unknown,Culture,Colorimetric,NA,NA,Colistin/Polymyxin resistance,Not applicable,NA,Colistin,NA,MIC,Other,Plate,Unknown,Manual,Lab-based,Intended for professional use only,Unknown,NA,NA,Porto,Yes,Portugal,"Porto, Portugal",41.15015411,-8.61031818,amr_testdir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.05.2023,"Meridian Bioscience, Inc.",a2r69000007laPP,TRU Legionella,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Lower Respiratory Tract Infections,NA,https://meridianbioscience.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urine,NA,20,Cincinnati,Yes,United States,"Cincinnati, United States",39.10369873,-84.51361084,amr_testdir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.05.2023,ELITechGroup,a2r69000007laOr,Rapid Polymyxin Pseudomonas,France,European Region,Regulatory Achieved,CE-IVDD,Chemical/Biochemical,Phenotypic AST,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,NA,https://elitechgroup.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,Growth/metabolism,Bacteria (Gram-),Pseudomonas aeruginosa,Unknown,Enzymatic assays,Colorimetric,NA,NA,Colistin/Polymyxin resistance,Not applicable,NA,Colistin; Other,Polymyxin B,S/R,Other,Tray,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Colony/plate,NA,240,Puteaux,Yes,France,"Puteaux, France",48.88328552,2.23760176,amr_testdir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
